tag,h,x,y,quadrat,bottom.corrx,bottom.corry,top.corrx,top.corry,species,sp.num,stem.id,piece.id,windthrow,cut,decay,type,dbh,ht.m,top.dbh,end.dbh,length,notes,
10801,1,9,1,191,81.2,0.8,,,,,,A,N,N,3,standing broken,36.9,2.1,29.6,,,,
10801,1,9,1,191,81,1.6,87.3,14.8,,,,B,N,N,3,standing broken,29.6,,,21.1,15.6,,
no tag,1,10,3,1103,98.1,20.2,94.3,18,,,,A,N,N,3,lying whole,22.4,,,16.6,4.6,,
no tag,1,6,10,1610,57.6,92.2,57.4,86.1,,,,A,N,N,3,lying whole,15.3,,,5.7,6.1,,
no tag,1,6,10,1610,57,90.9,64.8,71,,,,A,N,N,3,lying whole,30.8,,,9.7,20.6,,
10599,1,7,10,1710,62.4,90.8,,,,,,A,N,N,2,standing broken,17.5,2,16.8,,,,
10599,1,7,10,1710,63.4,90,58.5,83.7,,,,B,N,N,2,standing broken,16.8,,,5.2,7.9,,
10656,1,6,9,169,57.6,85.1,64.7,69.4,,,,A,W,N,2,lying whole,35.6,,,18,17,,
10585,1,7,9,179,63.2,83.7,,,,,,A,N,N,3,standing broken,33.4,13.7,25.7,,,,
10585,1,7,8,178,64.6,77.7,64.7,73.2,,,,B,N,N,3,standing broken,25.7,,,21.2,4.4,,
no tag,1,8,9,189,74.5,89.2,78,86.2,,,,A,N,N,3,lying whole,8.9,,,2.5,4.4,,
no tag,1,8,9,189,74.4,87.8,75.7,72.7,,,,A,N,N,3,lying whole,16.3,,,10,14.4,,
no tag,1,8,9,189,73.7,87.8,76.2,62.3,,,,A,N,N,3,lying whole,55.5,,,24.8,24.6,,
no tag,1,6,9,169,57.1,80.1,,,,,,A,N,N,3,stump,,,,,,,
10647,1,6,8,168,54.9,72.5,,,,,,A,N,N,2,live buds,19.1,,,,,,
11064,1,8,8,188,70.9,71.4,73.2,55.1,,,,A,N,N,2,standing broken,32,2,9.5,,,"stump split, dbh measured at second piece",
11051,1,8,7,187,76.2,60.6,73.8,60.6,,,,A,N,N,3,lying whole,16.5,,,14.8,2.6,,
11207,1,9,6,196,89.6,58.1,,,,,,A,N,N,3,standing dead,10,,,,,,
no tag,1,9,7,197,87.3,61.2,,,,,,A,N,N,3,stump,,,,,,,
no tag,1,9,8,198,83.4,79.6,84,61.1,,,,A,N,N,2,lying whole,47.5,,,39.8,17.7,,
no tag,1,9,8,198,82.4,79.9,,,,,,A,N,N,2,stump,,,,,,,
no tag,1,9,8,198,84.1,75.8,84,71.3,,,,A,N,N,2,lying whole,29,,,22,4.4,,
no tag,1,9,9,199,82.5,88.1,80.1,79.3,,,,A,N,N,3,lying whole,36,,,30.6,8.5,,
no tag,1,10,9,1109,91.7,85.4,,,,,,A,N,N,3,stump,,,,,,,
no tag,1,10,9,1109,97.8,83.6,96.2,73.3,,,,A,N,N,3,lying whole,61.5,,,50,9.9,,
70002,2,10,9,2109,100.2,187.8,99.8,186.4,,,,E,N,N,2,standing broken,23,,,21.9,,,
70002,2,10,9,2109,99.3,183.2,98.4,184.3,,,,F,N,N,6,standing broken,22.5,,,21.2,,,
no tag,2,1,5,215,9.8,146.9,29.2,147.7,,,,A,N,N,3,lying whole,21,,,10.3,18.8,,
20132,2,2,4,224,17.1,137.8,,,,,,A,N,N,2,standing broken,9.8,2.5,,,,,
20132,2,2,4,224,17.3,138.3,20.5,139.4,,,,B,N,N,2,standing broken,9.7,,,9.5,3.2,,
no tag,2,4,4,244,32.8,139.5,,,,,,A,N,N,3,stump,,,,,,,
21541,2,4,4,244,30.5,134.5,,,,,,A,N,N,2,standing dead,39.7,,,,,,
no tag,2,3,3,233,21.6,126.2,,,,,,A,N,N,3,stump,,,,,,,
no tag,2,3,3,233,24,120.5,13.1,120.7,,,,A,N,N,3,lying whole,16.7,,,15.1,10.5,,
no tag,2,3,3,233,27.7,122.9,19.1,114.2,,,,A,N,N,2,lying whole,14.6,,,7.2,11.1,,
21529,2,3,2,232,20.8,115.8,15.2,120.2,,,,A,N,N,2,lying whole,7.6,,,5.3,6.9,,
20109,2,2,2,222,15.8,117.7,5.6,120.2,,,,A,N,N,2,lying whole,11.7,,,5.1,10.4,,
20321,2,3,2,232,29.9,116.4,16.2,110.8,,,,A,N,N,3,lying whole,15.8,,,4.4,13.8,,
20006,2,1,1,211,8.5,105.7,1,104.1,,,,A,N,N,2,lying whole,12.5,,,7.8,9.1,,
20306,2,3,1,231,29.3,104.3,41,99.4,,,,A,N,N,2,lying whole,24.8,,,17.3,12,,
20239,2,4,2,242,33.1,110.6,,,,,,A,N,N,2,standing dead,70.4,,,,,,
20450,2,5,5,255,48.2,140.8,51.7,142.7,,,,A,N,N,2,lying whole,7.9,,,2.9,4.5,,
no tag,2,5,5,255,48.1,148,52.9,152.7,,,,A,N,N,3,lying whole,10.5,,,7.7,6.9,,
