tag,h,x,y,quadrat,bottom.corrx,bottom.corry,top.corrx,top.corry,species,sp.num,stem.id,piece.id,windthrow,cut,decay,type,dbh,ht.m,top.dbh,end.dbh,length,notes,
60683,6,6,2,662,151.9,112.6,,,,,,A,N,N,2,standing dead,18.9,,,,,,
60671,6,6,2,662,157.3,111.2,149.9,98.8,,,,A,N,N,2,lying whole,92.1,,,59,13,,
no tag,6,10,3,6103,194.9,122.7,195.1,117.4,,,,A,N,N,3,lying whole,9.3,,,6.5,5,,
61276,6,10,2,6102,194.7,118.1,,,,,,A,N,N,2,standing dead,20.3,,,,,,
no tag,6,10,3,6103,191.3,125.4,,,,,,A,N,N,3,stump,,,,,,,
61174,6,9,3,693,188,128.2,189.5,129.2,,,,A,N,N,3,lying whole,7.2,,,3.2,1.8,,
no tag,6,9,3,693,187,129.6,,,,,,A,N,N,3,stump,,,,,,,
no tag,6,9,4,694,187.1,135.8,190.9,134.8,,,,A,N,N,3,lying whole,8.3,,,6.2,3.8,,
61185,6,9,5,695,189,141.4,178.4,129.3,,,,A,N,N,2,lying whole,18.3,,,5.1,14.6,,
no tag,6,9,5,695,187.2,147.6,187.3,144.1,,,,A,N,N,3,lying whole,11,,,7.7,3.4,,
no tag,6,9,5,695,189.9,146,184.2,148.8,,,,A,N,N,3,lying whole,20.1,,,5.3,6.3,,
61044,6,8,4,684,179.6,133.1,182.5,129.8,,,,A,N,N,2,lying whole,4,,,3.7,4.2,,
61179,6,9,4,694,180.1,133.4,,,,,,A,N,N,2,standing dead,6.5,,,,,,
61364,6,9,10,6910,,,,,COFL2,22,,A,N,N,2,lying whole,8.8,,,6.1,5.2,,
61348,6,9,9,699,,,,,CACA18,14,,A,N,N,3,lying whole,13.9,,,12.3,2.4,,
no tag,6,9,9,699,,,,,,,,A,N,N,3,lying whole,11.6,,,9.3,5.2,,
no tag,6,9,8,698,,,,,,,,A,N,N,3,lying whole,15.5,,,11,6.7,,
no tag,6,7,8,678,,,,,,,,A,N,N,3,lying whole,15.3,,,10,7.1,,
no tag,6,9,7,697,,,,,,,,A,N,N,3,stump,,,,,,,
61321,6,9,7,697,,,,,,,,A,N,N,2,lying whole,10,,,5.9,5.6,,
61095,6,8,7,687,,,,,,,,A,N,N,2,lying broken,7.5,,,7.2,3.4,,
61095,6,8,7,687,,,,,,,,B,N,N,2,lying broken,7.1,,,5.2,2.3,,
no tag,6,7,6,676,,,,,,,,A,N,N,3,stump,,,,,,,
60971,6,7,6,676,,,,,,,,A,N,N,2,lying whole,8.2,,,6.4,3.5,,
60830,6,6,7,667,,,,,,,,A,N,N,2,standing broken,10.6,3,8.8,,,,
60830,6,6,6,666,,,,,,,,B,N,N,2,standing broken,8.8,,,3.1,7.3,,
60826,6,6,6,666,,,,,,,,A,N,N,2,lying whole,13.6,,,8.3,4.3,,
61440,6,10,6,6106,,,,,,,,A,N,N,2,standing broken,51.2,16,33,,,,
61440,6,10,6,6106,,,,,,,,B,N,N,2,standing broken,33,,,12.6,13.9,,
61442,6,10,6,6106,,,,,,,,A,N,N,2,standing dead,48,,,,,,
61451,6,10,7,6107,,,,,,,,A,W,N,1,lying whole,81.6,,,67.4,10.7,,
61479,6,10,9,6109,,,,,CACA18,14,,A,N,N,2,lying whole,7.6,,,7.3,2.9,,
61491,6,10,10,61010,,,,,,,,A,N,N,2,lying whole,10.1,,,8.3,3.7,,
no tag,7,5,5,755,,,,,,,,A,W,N,2,lying whole,66.6,,,29.3,24.3,,
no tag,7,1,3,713,,,96.6,211.5,,,,A,W,N,3,lying broken,97,,,94.1,16.7,,
no tag,3,10,2,3102,96.6,211.5,92.5,201.8,,,,B,W,N,3,lying broken,94.1,,,21.2,10.4,large branches,
no tag,3,10,2,3102,96.6,211.5,83.4,203.8,,,,C,W,N,3,lying broken,94.1,,,13.8,15.4,large branches,
no tag,7,6,6,766,,,,,,,,A,W,N,2,lying whole,,,,53.4,23.5,,
no tag,7,6,5,765,,,,,LITU,41,,A,N,N,2,lying whole,76.9,,,10.4,12.1,LITU,
no tag,7,6,4,764,,,,,,,,A,N,N,2,lying whole,12.7,,,,5,,
no tag,7,8,2,782,,,,,,,,A,N,N,2,lying whole,18.2,,,6.1,21.8,,
no tag,7,9,5,795,,,,,,,,A,N,N,3,lying whole,58.6,,,13.6,35.1,,
no tag,7,6,7,767,,,,,,,,A,N,N,3,lying whole,38.2,,,35.7,4,,
70670,7,4,5,745,,,,,,,,A,N,N,2,lying whole,10.3,,,6.1,6.6,leaning on 070678,
no tag,7,6,7,767,,,,,,,,A,N,N,2,lying whole,27.4,,,16.2,24.5,,
70755,7,5,5,755,,,,,,,,A,N,Y,3,lying whole,57.7,,,45,13.5,end cut due to road,
70300,7,3,6,736,,,,,,,,A,N,N,1,standing broken,13.8,,,3.3,8.7,connected,
70256,7,3,4,734,,,,,,,,A,N,N,3,lying broken,47.6,,,35.3,14.9,,
70256,7,3,5,735,,,,,,,,B,N,N,3,lying broken,44.3,,,42.1,1.2,,
70256,7,3,5,735,,,,,,,,C,N,N,3,lying broken,33,,,31.9,2.2,,
70277,7,3,5,735,,,,,,,,A,N,N,2,standing dead,2.9,,,,,,
no tag,7,4,4,744,,,,,,,,A,N,N,3,lying whole,38,,,27,17.2,,
no tag,7,5,4,754,,,,,,,,A,N,N,2,lying whole,62.5,,,34.8,22.1,,
70626,7,4,2,742,,,,,,,,A,W,N,3,lying whole,53.5,,,28.2,17.7,,
70619,7,4,2,742,,,,,,,,A,N,N,2,lying whole,7.8,,,6.9,3.9,,
no tag,7,5,3,753,,,,,,,,,,,,,,,,,,,
70610,7,4,1,741,,,,,,,,A,N,N,2,lying whole,9.7,,,7.7,4.2,,
no tag,7,3,4,734,,,,,,,,A,N,N,3,lying whole,11.1,,,10.2,3.8,,
no tag,7,4,1,741,,,,,,,,A,N,N,3,lying whole,43.9,,,40,17.7,,
70202,7,3,1,731,,,,,,,,A,N,N,2,lying broken,22.5,,,17,8.4,,
70202,7,3,1,731,,,,,,,,B,N,N,2,lying broken,14.5,,,12,3.9,,
no tag,7,3,1,731,,,,,,,,A,N,N,2,lying whole,4.8,,,4.1,1.6,,
70002,7,1,1,711,,,,,,,,A,N,N,2,standing broken,35.7,8,,,,,
70378,7,2,9,729,,,,,,,,A,N,N,1,standing broken,5.3,,,3.8,4.8,connected,
70567,7,3,10,7310,,,,,,,,A,N,N,1,standing broken,10.2,,,6.3,5.9,connected,
no tag,7,3,9,739,,,,,,,,A,N,N,2,lying whole,7.7,,,4.7,4.5,branch?,
70430,7,1,8,718,,,,,,,,A,N,N,2,standing dead,4,,,,,,
no tag,7,3,8,738,,,,,,,,A,N,N,3,lying whole,16,,,14.8,6.5,,
70563,7,3,9,739,,,,,,,,A,N,N,2,lying whole,11,,,7,9.4,,
70558,7,3,9,739,,,,,,,,A,N,N,2,standing broken,6.1,2,,,,no top,
no tag,7,3,6,736,,,,,,,,A,N,N,3,lying whole,9.8,,,6.5,8.1,,
70840,7,6,4,764,,,,,,,,A,N,N,2,standing dead,10.6,,,,,,
no tag,7,6,4,764,,,,,,,,A,N,N,3,lying whole,14,,,12.6,3.9,,
no tag,7,6,4,764,,,,,,,,A,N,N,3,lying whole,50.6,,,11.3,25.8,,
no tag,7,6,1,761,,,,,,,,A,N,N,3,lying whole,20.8,,,12.8,11.5,,
71044,7,7,3,773,,,,,,,,A,N,N,2,standing dead,9.2,,,,,,
71138,7,8,3,783,,,,,,,,A,N,N,2,standing broken,55.3,6,,34.7,,,
71138,7,8,3,783,,,,,,,,B,N,N,2,standing broken,34.7,,,40.9,9.2,,
no tag,7,9,1,791,,,,,,,,A,N,N,2,lying whole,5.5,,,4.8,4.1,,
no tag,7,10,1,7101,,,,,,,,A,N,N,3,lying whole,12.2,,,9.6,5.8,,
71614,7,10,2,7102,,,,,,,,A,N,N,2,lying whole,12.1,,,8.8,5.1,,
71219,7,9,2,792,,,,,,,,A,N,N,3,lying whole,9.5,,,6,5.2,,
no tag,7,10,2,7102,,,,,,,,A,N,N,3,lying whole,10,,,9.8,4.9,,
no tag,7,10,2,7102,,,,,,,,A,N,N,3,lying whole,12,,,9.3,3.1,,
no tag,7,10,4,7104,,,,,,,,A,N,N,3,lying whole,10.1,,,6.8,7.6,,
no tag,7,6,4,764,,,,,,,,A,N,Y,3,lying whole,63.7,,,54.7,8,,
71448,7,9,10,7910,,,,,,,,A,N,N,2,lying whole,,,,4.7,6.7,,
71313,7,8,9,789,,,,,,,,A,N,Y,3,standing broken,45.3,,,35.5,,fragments cut,
71313,7,8,10,7810,,,,,,,,B,N,Y,3,standing broken,35.5,,,29,3.9,,
71313,7,8,10,7810,,,,,,,,C,N,Y,3,standing broken,32.9,,,32.9,4.3,,
71313,7,8,10,7810,,,,,,,,D,N,Y,3,standing broken,31.6,,,31.1,4.2,,
71313,7,8,10,7810,,,,,,,,E,N,Y,3,standing broken,28.4,,,27.2,2.8,,
no tag,7,8,10,7810,,,,,,,,A,N,N,2,lying whole,9,,,8.6,1.8,,
no tag,7,8,10,7810,,,,,,,,A,N,N,2,lying whole,7.8,,,5.7,5.3,,
71534,7,7,10,7710,,,,,,,,A,N,Y,2,standing broken,53.7,9,,40.1,fragments cut,,
71534,7,7,10,7710,,,,,,,,B,N,Y,2,standing broken,40.1,,,34.4,,,
71534,7,7,10,7710,,,,,,,,C,N,Y,2,standing broken,38.8,,,35.5,,,
71534,7,7,10,7710,,,,,,,,D,N,Y,2,standing broken,34.8,,,32,,,
71534,7,7,10,7710,,,,,,,,E,N,Y,2,standing broken,33.5,,,30.6,,,
no tag,7,7,8,778,,,,,,,,A,N,N,2,lying whole,35.6,,,15,24.6,,
no tag,7,7,6,776,,,,,,,,A,N,N,2,lying whole,73.5,,,54.1,20.4,,
no tag,7,8,8,788,,,,,,,,A,N,N,2,lying broken,51.7,,,35.9,14.4,,
no tag,7,9,8,798,,,,,,,,B,N,N,2,lying broken,37,,,26.9,6.5,,
no tag,7,9,9,799,,,,,,,,A,N,Y,2,lying broken,53.3,,,37.3,16.5,,
no tag,7,10,7,7107,,,,,,,,B,N,Y,2,lying broken,28,,,23.5,3.1,,
no tag,7,10,8,7108,,,,,,,,A,N,Y,2,lying broken,27.9,,,27.3,1.9,fragment?,
no tag,8,9,4,894,,,,,,,,A,N,N,3,lying whole,23.5,,,17,9.7,,
no tag,8,9,5,895,,,,,,,,A,N,N,3,lying whole,19,,,,2.5,no top,
80339,8,1,9,819,,,,,,,,A,N,N,1,standing broken,59.6,7,59.4,,,,
no tag,8,1,5,815,,,,,,,,A,N,N,1,lying whole,11,,,11,4.6,,
80267,8,3,5,835,,,,,,,,A,N,N,2,standing dead,14,,,,,,
no tag,8,1,4,814,,,,,,,,A,N,N,2,lying broken,69.1,,,79.7,6.3,,
no tag,8,2,4,824,,,,,,,,B,N,N,2,lying broken,79.7,,,32.9,14.8,,
no tag,8,2,4,824,,,,,,,,C,N,N,2,lying broken,45.4,,,44.5,2.8,,
no tag,8,2,4,824,,,,,,,,D,N,N,2,lying broken,42.9,,,39.5,3.7,,
no tag,8,2,4,824,,,,,,,,E,N,N,2,lying broken,79.7,,,42.9,3.9,,
no tag,8,1,4,814,,,,,,,,A,N,N,2,lying whole,14.3,,,3.7,9.9,,
no tag,8,3,3,833,,,,,,,,A,N,N,2,lying whole,19,,,10.5,8,,
no tag,8,5,3,853,,,,,CACA18,14,,A,N,N,3,lying whole,19,,,11,9.8,,
80671,8,5,5,855,,,,,,,,A,N,N,2,standing broken,13,,11,,,,
80671,8,5,5,855,,,,,,,,B,N,N,2,standing broken,11,,,11,4.3,,
80650,8,5,4,854,,,,,,,,A,N,N,3,lying broken,32,,,12,12.6,,
no tag,8,5,5,855,,,,,,,,A,N,N,3,stump,,,,,,,
no tag,8,2,2,822,,,,,,,,A,N,N,3,lying whole,95,,,28,24.8,,
no tag,8,3,2,832,,,,,,,,A,N,N,3,lying whole,25,,,19,8.7,,
no tag,8,3,1,831,,,,,,,,A,N,N,3,lying broken,34.7,,,28.4,7.4,,
no tag,8,3,1,831,,,,,,,,B,N,N,3,lying broken,28.4,,,26.2,4.6,,
no tag,8,4,1,841,,,,,,,,A,N,N,3,lying whole,20.5,,,18.3,1.6,,
no tag,8,4,1,841,,,,,,,,A,N,N,3,lying whole,13.8,,,12,6.4,,
80528,8,2,8,828,,,,,,,,A,N,N,2,lying whole,29,,,13,13.5,,
80436,8,3,7,837,,,,,,,,A,N,N,2,standing broken,110.8,4,100,,,,
80436,8,3,7,837,,,,,,,,B,N,N,2,standing broken,100,,,70,7.7,,
no tag,8,1,5,815,,,,,,,,A,N,N,3,lying whole,50,,,40,10.5,,
no tag,8,5,6,856,,,,,,,,A,N,N,3,lying whole,53,,,32.2,7.6,,
no tag,8,8,1,881,,,,,,,,A,N,N,3,lying whole,28.7,,,12.1,19.2,,
80999,8,7,5,875,,,,,CACA18,,,A,N,N,3,standing dead,9.5,1.5,,,,,
80971,8,7,2,872,,,,,CACA18,,,A,N,N,3,standing dead,2.1,2,,,,,
no tag,8,7,3,873,,,,,COFL2,22,,A,N,N,3,lying whole,12,,,5.2,5.9,,
80701,8,6,1,861,,,,,,,,A,N,N,1,lying whole,54.9,,,34,30.7,,
81021,8,8,1,881,,,,,,,,A,N,N,2,standing dead,10.5,,,,,,
81264,8,9,2,892,,,,,,,,A,N,N,3,lying whole,12.6,,,9.2,4.7,,
no tag,8,9,2,892,,,,,,,,A,N,N,3,lying whole,30.3,,,14,15.8,,
no tag,8,10,5,8105,,,,,,,,A,N,N,3,lying whole,41.6,,,23.7,6,,
no tag,8,7,10,8710,,,,,,,,A,N,N,3,lying whole,43.3,,,34,9.7,,
no tag,8,6,8,868,,,,,,,,A,N,N,3,lying whole,31.2,,,22.5,15.9,,
80749,8,6,6,866,,,,,,,,A,N,N,2,standing broken,11,1.5,10.9,,,,
80749,8,6,6,866,,,,,,,,B,N,N,2,standing broken,10.9,,,7,,,
no tag,8,10,6,8106,,,,,,,,A,N,N,3,lying whole,29.8,,,26,17.2,,
no tag,8,6,8,868,,,,,,,,A,N,N,3,lying whole,22.8,,,12.3,12.9,,
no tag,8,7,9,879,,,,,,,,A,N,N,3,lying whole,18.3,,,12.3,10.8,,
no tag,8,9,10,8910,,,,,,,,A,N,N,3,lying whole,63.5,,,43.4,16.6,,
no tag,8,9,10,8910,,,,,,,,A,N,N,3,lying whole,26.2,,,20,9.2,,
no tag,8,8,7,887,,,,,,,,A,N,N,3,lying whole,19.7,,,11.5,19.2,,
no tag,9,5,8,958,,,,,,,,A,N,N,1,lying whole,15,,,4.3,6.1,,
90658,9,7,1,971,,,,,,,,A,N,N,2,standing dead,15.8,,,,,,
91495,9,6,10,9610,,,,,,,,A,N,N,2,standing dead,21.9,,,,,leaning,
91054,9,7,10,9710,,,,,,,,A,W,N,1,lying whole,,,,,,live buds,
100433,9,4,10,9410,,,,,,,,B,N,N,3,lying broken,23.8,,,19.8,4.3,,
no tag,9,1,5,915,,,,,,,,A,N,N,3,lying whole,56.6,,,29.3,24.7,,
no tag,9,1,5,915,,,,,,,,A,N,N,3,lying whole,46.2,,,,2.1,,
no tag,9,1,5,915,,,196.1,43.5,,,,A,N,N,3,lying broken,50.6,,,49.5,,,
no tag,5,10,5,5105,193.8,43.8,188.9,45,,,,B,N,N,3,lying broken,46.2,,,36.4,,,
91812,9,2,5,925,,,,,,,,A,N,N,2,lying whole,11.6,,,4.9,7.6,,
no tag,9,4,6,946,,,,,,,,A,N,N,3,lying whole,42.7,,,35.1,7.4,,
no tag,9,4,5,945,,,,,,,,A,N,N,3,stump,,,,,,,
92132,9,4,5,945,,,,,,,,A,N,N,3,lying whole,42.8,,,28.5,11.9,,
91409,9,5,3,953,,,,,,,,A,N,N,2,lying broken,23.1,,,21.3,5.8,,
91409,9,4,4,944,,,,,,,,B,N,N,2,lying broken,21.3,,,18.4,2.1,,
91409,9,4,4,944,,,,,,,,C,N,N,2,lying broken,19.2,,,17.8,1.7,,
91874,9,5,2,952,,,,,,,,A,N,N,2,lying whole,10,,,9.8,3.5,,
90880,9,5,2,952,,,,,,,,A,N,N,3,lying whole,16.8,,,13.7,4.9,,
no tag,9,4,2,942,,,,,,,,A,N,N,3,lying whole,23.4,,,18.8,10.4,,
91770,9,1,4,914,,,,,COFL2,22,,A,N,N,2,standing dead,8.2,,,,,,
no tag,9,2,5,925,,,,,,,,A,N,N,3,lying whole,16.4,,,9.2,14.1,,
no tag,9,2,4,924,,,,,,,,A,N,N,2,lying whole,6.4,,,5.8,4.1,,
no tag,9,2,4,924,,,,,,,,A,N,N,2,stump,,,,,,,
no tag,9,2,4,924,,,,,,,,A,N,N,3,lying whole,32.3,,,30.7,4.4,,
no tag,9,1,4,914,,,,,,,,A,N,N,3,lying whole,22.7,,,14.8,15.7,,
91731,9,1,3,913,,,,,,,,A,N,N,2,standing broken,5,1.5,,,,no top,
no tag,9,2,3,923,,,,,,,,A,N,N,2,lying whole,4.5,,,1.4,3.9,,
91707,9,1,2,912,,,,,,,,A,N,N,3,lying whole,25.8,,,15.3,17.6,,
92378,9,2,1,921,,,,,,,,A,N,N,2,lying whole,5,,,1.8,5.5,,
no tag,9,2,10,9210,,,,,,,,A,W,N,1,lying whole,62.5,,,46.4,15.7,live buds,
92767,9,1,9,919,,,,,,,,A,N,N,2,standing dead,12,,,,,,
no tag,9,1,8,918,,,,,,,,A,N,N,3,lying whole,65,,,57.3,10,,
no tag,9,1,8,918,,,,,,,,A,N,N,3,lying whole,37,,,24.2,9,,
90994,9,3,9,939,,,,,,,,A,N,N,2,standing dead,51.9,,,,,live buds,
92545,9,1,7,917,,,,,,,,A,N,N,2,standing broken,26.8,6,18.3,,,,
92545,9,1,7,917,,,,,,,,B,N,N,2,standing broken,18.3,,,13.2,7.7,,
no tag,9,4,6,946,,,,,,,,A,N,N,3,lying whole,40.4,,,36.7,9.1,,
no tag,9,4,6,946,,,,,,,,A,W,N,2,lying whole,70.2,,,33.5,19.3,,
no tag,9,4,6,946,,,,,,,,A,W,N,2,lying whole,10.3,,,,12.1,,
no tag,9,3,6,936,,,,,,,,A,W,N,2,lying whole,15.6,,,,5.6,,
no tag,9,4,6,946,,,,,,,,A,N,N,3,lying whole,57.2,,,52.8,14.7,,
no tag,9,8,6,986,,,,,,,,A,N,N,3,lying whole,57.7,,,32.1,16.7,,
90257,9,8,4,984,,,,,,,,A,N,N,3,lying whole,16.9,,,6.6,12.4,,
90140,9,9,3,993,,,,,,,,A,N,N,3,standing dead,25.6,,,,,leaning,
no tag,9,8,4,984,,,,,,,,A,N,N,3,lying whole,10.7,,,5.1,6.5,,
no tag,9,8,4,984,,,,,,,,A,N,N,3,lying whole,8.5,,,6.2,7.8,,
no tag,9,9,2,992,,,,,,,,A,N,N,3,stump,,,,,,,
90105,9,9,1,991,,,,,,,,A,N,N,3,lying whole,18.3,,,16.6,2.7,,
90108,9,9,1,991,,,,,,,,A,N,N,2,standing dead,18.5,,,,,,
no tag,9,9,1,991,,,,,,,,A,N,N,3,stump,,,,,,,
no tag,9,10,1,9101,,,,,,,,A,N,N,3,lying whole,11.8,,,7,2.5,,
90201,9,8,1,981,,,,,,,,A,N,N,3,lying whole,12,,,9.6,6.8,,
no tag,9,7,2,972,,,,,,,,A,N,N,3,lying whole,14.5,,,10.1,10.4,,
no tag,9,7,1,971,,,,,,,,A,N,N,3,lying whole,11.7,,,9.7,7.5,,
no tag,9,6,2,962,,,,,,,,A,N,N,3,lying whole,19.6,,,13,8.9,,
90930,9,6,2,962,,,,,,,,A,N,N,2,standing broken,24.2,7,18.4,,,,
90930,9,6,2,962,,,,,,,,B,N,N,2,standing broken,18.4,,,17.7,2.1,,
90930,9,6,2,962,,,,,,,,C,N,N,2,standing broken,15.8,,,15.8,3.8,,
90930,9,6,2,962,,,,,,,,D,N,N,2,standing broken,15.3,,,13.7,2.1,,
no tag,9,6,3,963,,,,,,,,A,N,N,3,lying whole,12.6,,,10.6,3.5,,
no tag,9,6,3,963,,,,,,,,A,N,N,3,lying whole,13.6,,,10.2,8,,
90942,9,6,3,963,,,,,,,,A,N,N,2,standing dead,16.8,,,,,,
no tag,9,6,4,964,,,,,,,,A,N,N,2,lying whole,17.8,,,14.2,11.1,PRAV or Betula,
90683,9,7,3,973,,,,,,,,A,N,N,3,standing broken,16.9,2.5,,,,no top,
no tag,9,7,3,973,,,,,,,,A,N,N,3,stump,,,,,,,
no tag,9,7,4,974,,,,,,,,A,N,N,3,lying whole,17.6,,,9.2,5.1,,
no tag,9,7,4,974,,,,,,,,A,N,N,3,lying broken,17.8,,,10.8,7.2,,
no tag,9,8,4,984,,,,,,,,B,N,N,3,lying broken,9.2,,,4.2,4,,
no tag,9,8,10,9810,,,,,,,,A,N,N,3,stump,,,,,,,
no tag,9,7,9,979,,,,,,,,A,N,N,3,stump,,,,,,,
no tag,9,6,9,969,,,,,,,,A,N,N,3,lying whole,22.1,,,8.9,12.1,,
91023,9,7,9,979,,,,,,,,A,N,N,2,standing dead,11.1,,,,,,
no tag,9,8,8,988,,,,,,,,A,N,N,3,lying whole,35.9,,,21.3,19.6,,
no tag,9,10,9,9109,,,,,,,,A,N,N,3,lying whole,21.4,,,12.1,8.3,,
91011,9,7,8,978,,,,,,,,A,N,N,1,standing broken,40.2,2,29.5,,,live buds,
91011,9,7,8,978,,,,,,,,B,N,N,1,standing broken,29.5,,,12.7,25.4,live buds,
91011,9,10,9,9109,,,,,,,,C,N,N,1,standing broken,12.3,,,4.2,4.5,live buds,
no tag,9,8,6,986,,,,,,,,A,N,N,3,lying whole,75.2,,,50.1,19.7,,
no tag,9,10,7,9107,,,,,,,,A,N,N,3,lying whole,11.8,,,7.3,6,,
no tag,9,10,6,9106,,,,,,,,A,N,N,3,lying whole,40.6,,,37,19.9,,
no tag,9,1,5,915,,,,,,,,A,N,N,3,lying broken,50.6,,,49.5,5.9,,
100771,10,5,8,1058,,,,,,,,A,W,N,2,lying whole,81.6,,,65.8,7.2,,
100772,10,6,9,1069,,,,,,,,B,W,N,2,lying whole,65.8,,,20.7,,,
100773,10,6,9,1069,,,,,,,,C,W,N,2,lying whole,65.8,,,28.4,,,
100774,10,6,9,1069,,,,,,,,D,W,N,2,lying whole,65.8,,,33.2,,,
101735,10,9,5,1095,,,,,,,,A,N,N,2,standing dead,5.8,,,,,,
101222,10,10,3,10103,,,,,,,,A,N,N,2,standing dead,3.3,,,,,,
101813,10,9,7,1097,,,,,,,,A,N,N,3,lying whole,36,,,35,9.9,,
102128,10,10,6,10106,,,,,,,,A,N,N,2,lying whole,44.7,,,29.4,15.3,,
102026,10,9,10,10910,,,,,,,,A,W,N,1,lying broken,74.4,,,45.7,18.9,,
no tag,10,1,4,1014,,,,,,,,A,N,N,3,lying whole,41,,,,5.8,,
no tag,10,2,5,1025,,,,,,,,A,N,N,3,lying whole,15.3,,,11.8,5.5,,
100301,10,3,5,1035,,,,,,,,A,N,N,3,standing broken,108.1,21,54.1,,,,
100301,10,4,5,1045,,,,,,,,B,N,N,3,standing broken,54.1,,,43.3,6,,
100301,10,4,5,1045,,,,,,,,C,N,N,3,standing broken,42,,,38.3,3.5,,
100286,10,3,4,1034,,,,,,,,A,N,N,2,standing dead,56,,,,,,
no tag,10,3,4,1034,,,,,,,,A,N,N,2,lying whole,13.8,,,6.9,6.8,,
100715,10,5,4,1054,,,,,,,,A,N,N,3,lying whole,31.2,,,,1.5,,
no tag,10,5,4,1054,,,,,,,,A,N,N,3,stump,,,,,,,
no tag,10,2,3,1023,,,,,,,,A,N,N,3,lying whole,17.7,,,11.7,10.9,,
100266,10,3,3,1033,,,,,,,,A,N,N,2,standing dead,10.2,,,,,,
no tag,10,3,2,1032,,,,,,,,A,N,N,3,lying whole,10.7,,,3.9,4.4,,
no tag,10,3,1,1031,,,,,,,,A,N,N,3,lying whole,8.5,,,8.3,3.7,,
no tag,10,2,1,1021,,,,,,,,A,N,N,3,standing dead,6.9,,,,,leaning,
100128,10,2,2,1022,,,,,,,,A,N,N,2,lying whole,11.3,,,6.7,9.5,,
no tag,10,2,2,1022,,,,,,,,A,N,N,3,stump,,,,,,,
100433,10,4,1,1041,,,,,,,,A,N,N,3,lying broken,27.5,,,21.7,9.2,,
no tag,10,5,1,1051,,,,,,,,A,N,N,3,lying whole,17.6,,,13.5,5.4,,
100544,10,5,1,1051,,,,,,,,A,N,N,3,standing dead,6.2,,,,,,
no tag,10,2,2,1022,,,,,,,,A,N,N,2,lying whole,7,,,4.2,5.3,,
no tag,10,2,9,1029,,,,,,,,A,N,N,2,lying whole,9,,,5.8,4.9,,
no tag,10,1,9,1019,,,,,,,,A,N,N,3,stump,,,,,,,
no tag,10,2,9,1029,,,,,,,,A,N,N,3,lying whole,21,,,16.3,11.8,,
no tag,10,2,9,1029,,,,,,,,A,N,N,3,lying whole,23.3,,,17.7,14.2,,
no tag,10,2,9,1029,,,,,,,,A,N,N,3,lying whole,21.5,,,15.2,6.1,,
no tag,10,4,9,1049,,,,,,,,A,N,N,3,lying whole,17.2,,,10.4,10,,
100781,10,5,9,1059,,,,,COFL2,22,,A,N,N,2,lying whole,8.5,,,2.8,4.7,,
100790,10,5,10,10510,,,,,,,,A,N,N,2,standing dead,85.4,,,,,,
100782,10,5,9,1059,,,,,,,,A,N,N,2,standing broken,44.7,17,23.3,,,,
100782,10,5,9,1059,,,,,,,,B,N,N,2,standing broken,23.3,,,20.7,6,,
no tag,10,1,7,1017,,,,,,,,A,N,N,2,lying whole,37.7,,,32,11.5,,
no tag,10,1,7,1017,,,,,,,,A,N,N,2,lying whole,13.7,,,13.7,2.6,,
no tag,10,3,6,1036,,,,,,,,A,N,N,3,lying whole,15,,,7,5.5,,
no tag,10,4,6,1046,,,,,,,,A,N,N,3,stump,,,,,,,
100754,10,5,6,1056,,,,,,,,A,N,N,2,lying whole,6.5,,,3.7,4.1,,
no tag,10,6,6,1066,,,,,,,,A,N,N,3,lying whole,29,,,26.7,5.5,,
no tag,10,5,6,1056,,,,,,,,A,N,N,3,lying whole,18.2,,,7.7,3.9,,
101256,10,7,4,1074,,,,,,,,A,N,N,2,lying whole,5.8,,,4.6,5.4,,
101626,10,8,5,1085,,,,,,,,A,N,N,2,lying whole,8.1,,,3,5.1,,
no tag,10,9,5,1095,,,,,,,,A,N,N,3,lying whole,37.9,,,34,12.8,,
no tag,10,8,5,1085,,,,,,,,A,N,N,3,stump,,,,,,,
101732,10,9,5,1095,,,,,,,,A,N,N,2,lying whole,5,,,3.6,3.9,,
no tag,10,10,5,10105,,,,,,,,A,N,N,3,lying whole,25.2,,,17.8,16.7,,
no tag,10,10,3,10103,,,,,,,,A,N,N,3,lying whole,10.5,,,7.1,4.5,,
101362,10,9,4,1094,,,,,,,,A,N,N,2,lying whole,4.1,,,2.6,3.6,broken,
101357,10,9,4,1094,,,,,,,,A,N,N,2,standing dead,7.7,,,,,,
100953,10,7,2,1072,,,,,,,,A,N,N,2,lying whole,4.5,,,3,3.2,,
no tag,10,6,2,1062,,,,,,,,A,N,N,3,standing dead,12.1,,,,,,
no tag,10,6,1,1061,,,,,,,,A,N,N,3,lying whole,35.8,,,35.3,7.8,,
100905,10,7,1,1071,,,,,,,,A,N,N,2,standing dead,59,,,,,,
101646,10,8,6,1086,,,,,,,,A,N,N,1,lying whole,42.1,,,28.8,7.5,,
101445,10,7,7,1077,,,,,,,,A,W,N,1,lying whole,18.1,,,,9.8,live buds,
101443,10,7,7,1077,,,,,,,,A,W,N,1,lying whole,78.2,,,38.7,17.1,live buds,
101029,10,6,6,1066,,,,,,,,A,N,N,2,standing dead,,,,,,,
101664,10,8,6,1086,,,,,,,,A,N,N,2,standing dead,3,,,,,,
