QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,DBH,BDS.2021,PIECE.2021,INTEGRITY.2021,DECAYCLASS.2021,GC.2021,HEIGHT.2021,TOPDIAM.2021,DBH.2021,LENGTH,ANGLE,DIRECTION,HOM,CODES.2019,PX,PY
488,41915,41915,FRAM2,8.7,7.4,42.9,Snag,A,,1,,,,43,,,,1.3,DS,78.7,377.39999
489,41922,41922,LIST2,5.6,2.4,14.3,,,,,,,,,,,,1.3,DS;Q,75.6,382.39999
512,50019,50019,QUVE,0.5,9.2,60.6,,,,,,,,,,,,1.3,DS,100.5,19.2
515,50182,50182,FRPE,1.2,3.4,40.7,,,,,,,,,,,,1.3,DS,101.2,43.4
515,50197,50197,FRPE,1,8.5,26,,,,,,,,,,,,1.3,DS,101,48.5
515,50198,50198,FRPE,0.3,7.5,55.3,,,,,,,,,,,,1.3,DS,100.3,47.5
515,50199,50199,FRPE,5.6,9.8,16.2,,,,,,,,,,,,1.3,DS,105.6,49.8
516,50200,50200,FRPE,8,0.6,35.9,,,,,,,,,,,,1.3,DS;X,108,50.6
516,50200,50501,FRPE,7.9,1,25.3,,,,,,,,,,,,1.3,DS;X,107.9,51
516,50502,50502,FRPE,3.7,2.4,50,,,,,,,,,,,,1.3,DS,103.7,52.4
516,50504,50504,FRPE,8.8,9.1,23.4,,,,,,,,,,,,1.3,DS,108.8,59.1
516,50505,50505,FRPE,9.4,9.1,11.1,,,,,,,,,,,,1.3,DS,109.4,59.1
517,50506,50506,FRPE,5.1,0.6,30.9,,,,,,,,,,,,1.3,DS,105.1,60.6
517,50507,50507,FRPE,1.9,1.9,40.7,,,,,,,,,,,,1.3,DS,101.9,61.9
517,50510,50510,FRPE,7.8,3.2,37.8,,,,,,,,,,,,1.3,DS,107.8,63.2
517,50511,50511,FRPE,3.1,8.3,32.6,,,,,,,,,,,,1.3,DS,103.1,68.3
518,50522,50522,FRPE,9.4,6.1,29.7,,,,,,,,,,,,1.3,DS,109.4,76.1
518,50525,50525,FRPE,6.7,4.3,12.6,,,,,,,,,,,,1.3,DS,106.7,74.3
525,50354,50354,FRPE,4.2,3.7,34,,,,,,,,,,,,1.3,DS;X,114.2,43.7
525,50356,50356,FRPE,0.5,1.4,22,,,,,,,,,,,,1.3,DS;Q,110.5,41.4
525,50360,50360,FRPE,0.8,1.8,37.8,,,,,,,,,,,,1.3,DS;X,110.8,41.8
525,50376,50376,FRPE,5,9.7,50.8,,,,,,,,,,,,1.3,DS,115,49.7
525,50377,50377,LITU,4.6,8.7,37.2,,,,,,,,,,,,1.3,DS,114.6,48.7
526,50393,50393,FRPE,2.4,3.5,38.8,,,,,,,,,,,,1.3,DS,112.4,53.5
526,50396,50396,FRPE,8.9,4.6,22.8,,,,,,,,,,,,1.3,DS,118.9,54.6
526,50397,50397,FRPE,8.1,9.3,39.2,,,,,,,,,,,,1.3,DS,118.1,59.3
527,50400,50400,FRPE,5.5,1,20.9,,,,,,,,,,,,1.3,DS,115.5,61
527,50603,50603,FRPE,9.5,0.2,16.9,,,,,,,,,,,,1.3,DS,119.5,60.2
527,50604,50604,FRPE,3.1,7.8,52.5,,,,,,,,,,,,1.3,DS,113.1,67.8
535,50069,50069,FRPE,8,3.1,26.2,,,,,,,,,,,,1.3,DS;CWD,128,43.1
535,50074,50074,FRPE,3.3,3.7,14.3,,,,,,,,,,,,1.3,DS;I,123.3,43.7
536,50089,50089,FRPE,1.3,2.3,25.5,,,,,,,,,,,,1.3,DS;X,121.3,52.3
536,50094,50094,FRPE,9.5,4.9,28,,,,,,,,,,,,1.3,DS,129.5,54.9
536,50099,50099,FRPE,7,9,55.9,,,,,,,,,,,,1.3,DS,127,59
544,50632,50632,FRPE,2.1,7.3,21.6,,,,,,,,,,,,1.3,DS;X;CWD,132.10001,37.3
545,50648,50648,FRPE,3,5.4,41,,,,,,,,,,,,1.3,DS,133,45.4
547,50665,50665,FRPE,4.4,0.2,18.7,,,,,,,,,,,,1.3,DS,134.39999,60.2
547,50671,50671,FRPE,6.3,3.6,16.5,,,,,,,,,,,,1.3,DS,136.3,63.6
554,50543,50543,FRPE,4.3,5.3,32,,,,,,,,,,,,1.3,DS,144.3,35.3
555,50436,50436,FRPE,5.2,9.5,18.8,,,,,,,,,,,,1.3,DS,145.2,49.5
555,50574,50574,FRPE,6.6,2,25,,,,,,,,,,,,1.3,DS,146.60001,42
555,50693,50693,FRPE,8.9,6.7,22.4,,,,,,,,,,,,1.3,DS,148.89999,46.7
556,50443,50442,FRPE,5.3,8.2,11.5,,,,,,,,,,,,1.3,DS;X;L,145.3,58.2
558,53505,53505,LIST2,2.1,5.2,17.6,,,,,,,,,,,,1.3,DS;X;MT;L,142.10001,75.2
564,53748,53748,FRPE,7.8,7.3,13.4,,,,,,,,,,,,1.3,DS,157.8,37.3
574,50857,50857,FRPE,0.5,9.3,10.1,,,,,,,,,,,,1.3,DS,160.5,39.3
575,50884,50884,FRPE,0.7,4.7,35.7,,,,,,,,,,,,1.3,DS,160.7,44.7
576,50775,50775,FRPE,9.7,4.7,45.9,,,,,,,,,,,,1.3,DS,169.7,54.7
577,50774,50774,FRPE,4.9,3.8,40.7,,,,,,,,,,,,1.3,DS,164.89999,63.8
585,51065,51065,FRPE,6.4,7.1,42,,,,,,,,,,,,1.3,DS,176.39999,47.1
586,51379,51379,FRPE,5.2,0.2,43,,,,,,,,,,,,1.3,DS;X,175.2,50.2
592,51238,51238,LITU,8.7,8.2,29.1,,,,,,,,,,,,1.3,DS;IR,188.7,18.2
595,53884,53884,FRAM2,8.3,8.1,70.2,,,,,,,,,,,,1.3,DS,188.3,48.1
596,51094,51094,FRAM2,9.7,8.9,43.2,,,,,,,,,,,,1.3,DS,189.7,58.9
597,53808,53808,FRAM2,8,1.4,17.6,,,,,,,,,,,,1.3,DS;IR;X,188,61.4
597,53809,53809,FRAM2,7.8,2.4,25.2,,,,,,,,,,,,1.32,DS;A,187.8,62.4
597,53811,53811,FRAM2,6.6,2,18.3,,,,,,,,,,,,1.3,DS,186.60001,62
597,53813,53813,FRAM2,7.5,0.9,29.4,,,,,,,,,,,,1.3,DS,187.5,60.9
597,53830,53831,LIST2,9.6,8.7,21,,,,,,,,,,,,1.3,DS;Q,189.60001,68.7
599,51003,51003,FRPE,0.5,4,30.8,,,,,,,,,,,,1.3,DS,180.5,84
623,60116,60116,LIST2,2.1,1.5,24.5,,,,,,,,,,,,1.3,DS,112.1,121.5
624,60140,60140,COFL2,8.1,0.8,10.7,,,,,,,,,,,,1.3,DS,118.1,130.8
628,60199,60199,LITU,3.5,3.5,24.3,,,,,,,,,,,,1.3,DS,113.5,173.5
633,60427,60427,QUFA,1,1.8,104.7,,,,,,,,,,,,1.3,DS,121,121.8
646,60608,60608,FRAM2,1.4,9.5,22.7,,,,,,,,,,,,1.3,DS;X,131.39999,159.5
648,60622,60622,COFL2,0.8,3.1,11.5,,,,,,,,,,,,1.3,DC,130.8,173.10001
655,60747,60747,QUFA,5.4,4.9,36,,,,,,,,,,,,1.3,DS;MT;X,145.39999,144.89999
655,60750,60750,QUFA,6.5,8.5,50.4,,,,,,,,,,,,1.3,DS;X,146.5,148.5
716,70413,70413,LIST2,7.1,7.4,25.8,,,,,,,,,,,,1.3,DS;Q,107.1,257.39999
