QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,DBH.2019,BDS.2021,PIECE.2021,INTEGRITY.2021,DECAYCLASS.2021,GC.2021,HEIGHT.2021,TOPDIAM.2021,DBH.2021,LENGTH,ANGLE,DIRECTION,HOM,CODES.2019,PX,PY,Notes2021
143,10321,10321,LIST2,8.3,4.2,30.3,,,,,,,,,,,,1.3,LI,38.3,24.2,
143,10322,10322,ULAM,7.2,2.4,17.5,,,,,,,,,,,,1.3,LI;IR,37.2,22.4,
144,10325,10325,FRPE,3.2,0.1,18.4,,,,,,,,,,,,1.3,LI,33.2,30.1,
144,10326,10326,LIST2,4.5,9,34.5,,,,,,,,,,,,1.3,LI,34.5,39,
144,10329,10329,LIST2,2.3,6.3,31.6,,,,,,,,,,,,1.3,LI,32.3,36.3,
144,10330,10330,ACRU,1,8.4,23.5,,,,,,,,,,,,1.3,LI;X;I,31,38.4,
145,10333,10333,LIST2,2.7,5.1,46.4,,,,,,,,,,,,1.3,LI;XY,32.7,45.1,
145,10335,10335,QUPA2,1.3,2,28.5,,,,,,,,,,,,1.3,LI;X,31.3,42,
145,10338,10338,QUPA2,7.9,8.6,14.8,,,,,,,,,,,,1.3,LI;M;L;IR,37.9,48.6,
145,10340,10339,ACRU,4.8,9.8,16.9,,,,,,,,,,,,1.3,LI;IR;SEC,34.8,49.8,
145,10340,10340,ACRU,4.8,9.8,30.2,,,,,,,,,,,,1.3,LI;M;L,34.8,49.8,
146,10345,10345,FRPE,3.9,6.6,11.3,,,,,,,,,,,,1.3,LI;MT,33.9,56.6,
146,10347,10347,FRPE,5.7,9.9,21.6,,,,,,,,,,,,1.3,LI;V50;L;MT,35.7,59.9,
146,10349,10349,FRPE,3.7,7.9,15.7,,,,,,,,,,,,1.3,LI,33.7,57.9,
147,10354,10354,ULAM,0,7.7,25.8,,,,,,,,,,,,1.3,LI;P;MT;M,30,67.7,
148,10362,10362,ACRU,2.5,9.1,22.5,,,,,,,,,,,,1.3,LI;MT;IR,32.5,79.1,
148,10363,10363,ACRU,1.9,7.4,17.1,,,,,,,,,,,,1.3,LI,31.9,77.4,
149,10367,10367,FAGR,3.8,5.4,17,,,,,,,,,,,,1.3,LI,33.8,85.4,
149,10368,10368,FAGR,5.8,5.8,11.9,,,,,,,,,,,,1.32,LI;A,35.8,85.8,
149,10372,10372,CACA18,6.4,0.3,12.6,,,,,,,,,,,,1.3,LI,36.4,80.3,
149,10377,10377,FAGR,9.1,7.8,13.3,,,,,,,,,,,,1.2,LI;A,39.1,87.8,
149,10380,10380,FAGR,6.6,9.9,14.4,,,,,,,,,,,,1.3,LI;IR,36.6,89.9,
149,10382,10382,FAGR,1.9,3.9,17.4,,,,,,,,,,,,1.3,LI,31.9,83.9,
151,10407,10407,FAGR,2.4,2.4,31.4,,,,,,,,,,,,1.3,LI,42.4,2.4,
151,10413,10413,FAGR,7.5,9.2,10.7,,,,,,,,,,,,1.3,LI;M,47.5,9.2,
152,10416,10416,QUAL,2.8,3.1,26,,,,,,,,,,,,1.3,LI,42.8,13.1,
152,10417,10417,FAGR,1.9,2.1,25.2,,,,,,,,,,,,1.3,LI,41.9,12.1,
152,10418,10418,QUFA,2.1,1.5,75,,,,,,,,,,,,1.3,LI,42.1,11.5,
152,10419,10419,FAGR,0.9,1.6,25.6,,,,,,,,,,,,1.26,LI;A,40.9,11.6,
152,10422,10422,LIST2,5.9,9,58.7,,,,,,,,,,,,1.3,LI,45.9,19,
152,10424,10424,ULAM,1.5,10,12.7,,,,,,,,,,,,1.3,LI;XY,41.5,20,
152,11401,11401,FAGR,9.8,7.6,34.5,,,,,,,,,,,,1.3,LI,49.8,17.6,
153,10425,10425,PATO2,6.9,5.7,11.6,,,,,,,,,,,,1.3,LI,46.9,25.7,
153,10428,10428,CACA18,5.3,5.6,14.9,,,,,,,,,,,,1.3,LI;L;IR,45.3,25.6,
153,10432,10432,QUPA2,2.1,9.6,19.7,,,,,,,,,,,,1.3,LI,42.1,29.6,
154,10436,10436,FRPE,7,2.4,23.6,,,,,,,,,,,,1.3,LI,47,32.4,
154,10447,10446,ACRU,9.8,7.8,10.4,,,,,,,,,,,,1.3,LI;SEC,49.8,37.8,
154,10447,10447,ACRU,6,9.5,59.2,,,,,,,,,,,,1.3,LI;M;MT,46,39.5,
155,10449,10449,LIST2,5.2,1.2,23,,,,,,,,,,,,1.3,LI;XY,45.2,41.2,
155,10452,10452,QUPA2,2.5,6.8,20.9,,,,,,,,,,,,1.3,LI;MT;X;V50;I,42.5,46.8,
156,10456,10456,QUPA2,7,3.6,22.1,,,,,,,,,,,,1.3,LI,47,53.6,
157,11420,11420,FRPE,6.7,7.1,14.2,,,,,,,,,,,,1.3,LI;WDBH;XY,46.7,67.1,
158,10459,10459,ULAM,2.2,1.1,24.5,,,,,,,,,,,,1.5,LI;L;MT;A;XY,42.2,71.1,
158,10460,10460,FRPE,4.4,4.3,12.3,,,,,,,,,,,,1.3,LI;XY,44.4,74.3,
158,10461,10461,ULAM,5.7,6.1,29.5,,,,,,,,,,,,1.3,LI;CWD;P;M;XY;MT,45.7,76.1,
158,10462,10462,QUMI,1,10,13.8,,,,,,,,,,,,1.3,LI;L,41,80,
159,10467,10467,QUMI,7.7,0.3,13.1,,,,,,,,,,,,1.3,LI,47.7,80.3,
159,10471,10471,NYSY,5.1,3.6,10.2,,,,,,,,,,,,1.3,LI,45.1,83.6,
159,10475,10475,FAGR,4.1,2.5,12.6,,,,,,,,,,,,1.3,LI;P,44.1,82.5,
159,10479,10479,QUMI,10,3.6,14.2,,,,,,,,,,,,1.3,LI;L,50,83.6,
