TAG,QUADNAME,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
43231,12101,NA,UNKN,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,30.4,NA,11,NA,NA,,
43404,1296,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,7.6,NA,4.3,NA,NA,,
43405,1296,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5.2,NA,4.3,NA,NA,,
43427,1299,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,6.6,NA,4.3,NA,NA,,
43741,121010,NA,LIST2,NA,NA,standing broken,,A,,,3,NA,,12,NA,24.2,NA,37,NA,,NA,NA,,
43741,121010,NA,LIST2,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,24.2,NA,1.8,NA,NA,,
130003,1331,NA,LIST2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,13.2,NA,,NA,NA,,
130296,1338,NA,FAGR,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,11.3,NA,,NA,NA,,
130297,1338,NA,FAGR,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2,NA,,NA,NA,,
130423,1321,NA,LIST2,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,14.6,NA,13.1,NA,NA,,
130429,1321,NA,LIST2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,16.4,NA,,NA,NA,,
130445,1321,NA,LIST2,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,12.7,NA,8,NA,NA,,
130445,1321,NA,LIST2,NA,NA,standing broken,,A,,,3,NA,,1.7,NA,12.7,NA,15,NA,,NA,NA,,
130528,1349,NA,QURU,NA,NA,standing broken,,B,,,1,NA,,NA,NA,NA,NA,45,NA,21.6,NA,NA,,
130528,1349,NA,QURU,NA,NA,standing broken,,A,,,1,NA,,3.5,NA,45,NA,65,NA,,NA,NA,,
130551,1346,NA,QURU,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,45.7,NA,,NA,NA,,leaning
130559,1346,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,6,NA,2.4,NA,NA,,
130560,1346,NA,QURU,NA,NA,lying broken,,A,,,2,NA,,NA,NA,NA,NA,38.4,NA,1.7,NA,NA,,
130560,1336,NA,QURU,NA,NA,lying broken,,B,,,2,NA,,NA,NA,NA,NA,31.5,NA,6.6,NA,NA,,
130560,1346,NA,QURU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,46.1,NA,18.1,NA,NA,,
130560,1337,NA,QURU,NA,NA,lying broken,,C,,,2,NA,,NA,NA,NA,NA,31.1,NA,5.3,NA,NA,,
130567,1346,NA,LIST2,NA,NA,standing dead,,A,,,1,NA,,NA,NA,NA,NA,3.6,NA,,NA,NA,,
130655,1361,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.9,NA,,NA,NA,,
130660,1361,NA,LIBE3,NA,NA,standing broken,,A,,,2,NA,,NA,NA,NA,NA,6.5,NA,,NA,NA,,connected
130766,1335,NA,VIPR,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,6.1,NA,2.7,NA,NA,,
130792,1341,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.1,NA,,NA,NA,,
130807,1341,NA,LIST2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,10.5,NA,7.1,NA,NA,,
130889,13110,NA,ULAM,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,10,NA,,NA,NA,,
130907,1311,NA,LIST2,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,15,NA,6.2,NA,NA,,
130960,1351,NA,AIAL,NA,NA,standing dead,,A,,,1,NA,,NA,NA,NA,NA,13.6,NA,,NA,NA,,
131049,1365,NA,LIBE3,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,1.6,NA,1.7,NA,NA,,
131134,1362,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,5.2,NA,,NA,NA,,
131157,1362,NA,LIBE3,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5.2,NA,2.6,NA,NA,,
131285,1356,NA,QUVE,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,47.3,NA,14.5,NA,NA,,
131291,1357,NA,CAGL8,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,30.3,NA,,NA,NA,,
131292,1357,NA,CAGL8,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,27.8,NA,,NA,NA,,broken below dbh
131306,1359,NA,UNKN,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,28.8,NA,7.7,NA,NA,,
131307,1359,NA,QURU,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,46.8,NA,14.8,NA,NA,,
131333,13510,NA,LIST2,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,30.2,NA,7,NA,NA,,
131333,13510,NA,LIST2,NA,NA,standing broken,,A,,,3,NA,,13.1,NA,30.2,NA,43.3,NA,,NA,NA,,
131351,1371,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.6,NA,,NA,NA,,
131356,1371,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,0.8,NA,,NA,NA,,
131493,1381,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,3.2,NA,,NA,NA,,
131955,1375,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,3,NA,,NA,NA,,
131987,1376,NA,QUAL,NA,NA,standing broken,,A,,,2,NA,,16.5,NA,12.7,NA,25.2,NA,,NA,NA,,
131987,1375,NA,QUAL,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,12.7,NA,5.6,NA,NA,,
132001,1384,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,3.2,NA,,NA,NA,,
132289,13103,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.7,NA,,NA,NA,,
132472,13102,NA,LITU,NA,NA,standing broken,,A,,,1,NA,,NA,NA,NA,NA,36.4,NA,,NA,NA,,live buds
132616,13107,NA,LIST2,NA,NA,standing broken,,A,,,2,NA,,1.2,NA,NA,NA,47.5,NA,22.9,NA,NA,,
132616,13107,NA,LIST2,NA,NA,standing broken,,A,,,2,NA,,2,NA,NA,NA,39.6,NA,,NA,NA,,no top
132630,13107,NA,ACRU,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,24.2,NA,3.1,NA,NA,,
132630,13107,NA,ACRU,NA,NA,standing broken,,A,,,2,NA,,2.5,NA,24.2,NA,27.5,NA,,NA,NA,,
132633,13107,NA,PLOC,NA,NA,standing broken,,A,,,2,NA,,NA,NA,NA,NA,62.6,NA,26.1,NA,NA,,
132633,13107,NA,PLOC,NA,NA,standing broken,,A,,,2,NA,,1.3,NA,62.6,NA,68.1,NA,,NA,NA,,
132676,13105,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,3.5,NA,,NA,NA,,
132697,13105,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.3,NA,,NA,NA,,
132932,1395,NA,LIBE3,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,6.1,NA,2.6,NA,NA,,
133028,13910,NA,PLOC,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,28.8,NA,,NA,NA,,
133171,13103,NA,PLOC,NA,NA,standing cut,,A,,,3,NA,,1.5,NA,54.8,NA,139.8,NA,,NA,NA,,
133171,13103,NA,PLOC,NA,NA,standing cut,,B,,,3,NA,,NA,NA,NA,NA,52.9,NA,20.2,NA,NA,,
133171,13103,NA,PLOC,NA,NA,standing cut,,B,,,3,NA,,NA,NA,NA,NA,54.8,NA,14.1,NA,NA,,
140101,1411,NA,PLOC,NA,NA,standing broken,,A,,,3,NA,,NA,NA,NA,NA,27.7,NA,13.3,NA,NA,,
140101,1411,NA,PLOC,NA,NA,standing broken,,A,,,3,NA,,3,NA,27.7,NA,36.4,NA,,NA,NA,,
140209,1431,NA,ULRU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,25.2,NA,,NA,NA,,
140212,1431,NA,FRPE,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,30,NA,4.9,NA,NA,,
140243,1433,NA,FRPE,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,17.1,NA,10.8,NA,NA,,
140355,1428,NA,ULRU,NA,NA,standing broken,,A,,,1,NA,,5,NA,35.1,NA,49.3,NA,,NA,NA,,
140355,1428,NA,ULRU,NA,NA,standing broken,,B,,,1,NA,,NA,NA,NA,NA,35.1,NA,7.1,NA,NA,,
140376,1429,NA,QUPA2,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,51,NA,28,NA,NA,,live buds
140534,1439,NA,LIBE3,NA,NA,standing broken,,A,,,2,NA,,1.3,NA,NA,NA,2,NA,,NA,NA,,top?
140535,1439,NA,LIST2,NA,NA,lying broken,,A,,,3,NA,,NA,NA,NA,NA,8.8,NA,5.7,NA,NA,,
140535,1439,NA,LIST2,NA,NA,lying broken,,B,,,3,NA,,NA,NA,NA,NA,6.8,NA,1.3,NA,NA,,
140638,1448,NA,QUPA2,NA,NA,standing broken,,D,,,3,NA,,NA,NA,NA,NA,36,NA,1.8,NA,NA,,
140638,1438,NA,QUPA2,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,44.5,NA,6.3,NA,NA,,
140638,1438,NA,QUPA2,NA,NA,standing broken,,A,,,3,NA,,11,NA,44.5,NA,59.1,NA,,NA,NA,,
140638,1448,NA,QUPA2,NA,NA,standing broken,,C,,,3,NA,,NA,NA,NA,NA,33.7,NA,1.8,NA,NA,,
140676,1419,NA,LIST2,NA,NA,standing broken,,A,,,2,NA,,3.2,NA,11.8,NA,17.1,NA,,NA,NA,,
140676,1419,NA,LIST2,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,11.8,NA,6.3,NA,NA,,
140738,1451,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.5,NA,,NA,NA,,
140824,14110,NA,ULRU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,22,NA,,NA,NA,,
140835,14110,NA,QUPA2,NA,NA,standing broken,,A,,,3,NA,,NA,NA,NA,NA,49.3,NA,13,NA,NA,,
140835,1415,NA,QUPA2,NA,NA,standing broken,,A,,,3,NA,,12,NA,49.3,NA,75.9,NA,,NA,NA,,
140835,14110,NA,QUPA2,NA,NA,standing broken,,A,,,3,NA,,NA,NA,NA,NA,37.6,NA,14.7,NA,NA,,
140969,1448,NA,LIST2,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,28.2,NA,7,NA,NA,,
141067,1453,NA,LIBE3,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,2,NA,1.9,NA,NA,,
141098,1455,NA,LIST2,NA,NA,standing broken,,A,,,1,NA,,NA,NA,NA,NA,49.6,NA,14.6,NA,NA,,
141098,1465,NA,LIST2,NA,NA,standing broken,,C,,,1,NA,,NA,NA,NA,NA,37.1,NA,3.1,NA,NA,,
141098,1465,NA,LIST2,NA,NA,standing broken,,B,,,1,NA,,NA,NA,NA,NA,39,NA,1.3,NA,NA,,
141224,1455,NA,LIBE3,NA,NA,standing broken,,A,,,2,NA,,0.7,NA,NA,NA,1.1,NA,,NA,NA,,
141282,1455,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,1.7,NA,,NA,NA,,
141322,1459,NA,QUPA2,NA,NA,standing broken,,A,,,1,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,live buds
141484,1464,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,3.6,NA,,NA,NA,,
141521,1468,NA,LIST2,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,31.6,NA,11.4,NA,NA,,
141521,1467,NA,LIST2,NA,NA,standing broken,,C,,,2,NA,,NA,NA,NA,NA,22.3,NA,3.5,NA,NA,,
141521,1468,NA,LIST2,NA,NA,standing broken,,A,,,2,NA,,4,NA,31.6,NA,41.5,NA,,NA,NA,,
141641,1467,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,1.3,NA,,NA,NA,,
141692,1464,NA,LIBE3,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,1.1,NA,2.2,NA,NA,,
141746,14610,NA,ULRU,NA,NA,standing dead,,A,,,1,NA,,NA,NA,NA,NA,3.5,NA,,NA,NA,,
141817,1481,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,3.2,NA,,NA,NA,,
141818,1481,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,1.4,NA,,NA,NA,,
141913,1466,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,1.3,NA,,NA,NA,,
141979,1462,NA,FAGR,NA,NA,standing dead,,A,,,1,NA,,NA,NA,NA,NA,4.4,NA,,NA,NA,,
142010,14103,NA,ACRU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,7,NA,2.2,NA,NA,,
142038,14105,NA,LIST2,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,8.6,NA,3.3,NA,NA,,
142038,14105,NA,LIST2,NA,NA,standing broken,,A,,,2,NA,,4,NA,8.6,NA,18.5,NA,,NA,NA,,
142153,1494,NA,LIBE3,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,1.2,NA,,NA,NA,,
142154,1494,NA,LIBE3,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,2.2,NA,,NA,NA,,
142242,1482,NA,COFL2,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,10,NA,1.3,NA,NA,,
142242,1482,NA,COFL2,NA,NA,standing broken,,A,,,2,NA,,3,NA,10,NA,10.5,NA,,NA,NA,,
142246,1482,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,3.5,NA,,NA,NA,,
142293,1484,NA,UNKN,NA,NA,standing broken,,A,,,3,NA,,1.8,NA,NA,NA,16.5,NA,,NA,NA,,no top
142324,1486,NA,LIST2,NA,NA,standing broken,,A,,,3,NA,,3,NA,NA,NA,37.4,NA,,NA,NA,,
142335,1487,NA,UNKN,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,22.1,NA,4.1,NA,NA,,
142379,14910,NA,LITU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,12.5,NA,,NA,NA,,stump sprouts
142442,1479,NA,LIST2,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,5.5,NA,2.8,NA,NA,,
142443,1479,NA,LIST2,NA,NA,lying cut,,A,,,1,NA,,NA,NA,NA,NA,7,NA,3.5,NA,NA,,leaning
142560,141010,NA,PIVI2,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,35,NA,,NA,NA,,
142714,14810,NA,COFL2,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,10.1,NA,2.7,NA,NA,,
150010,15101,NA,LITU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,8.7,NA,8.1,NA,NA,,
150049,1586,NA,LITU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,17,NA,12.7,NA,NA,,stump in x9 y6
150056,1598,NA,LIST2,NA,NA,standing broken,,A,,,2,NA,,11.3,NA,NA,NA,22.4,NA,,NA,NA,,no top
150077,15910,NA,UNKN,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,30.3,NA,6.4,NA,NA,,
150077,15910,NA,UNKN,NA,NA,standing broken,,A,,,3,NA,,NA,NA,30.3,NA,34.6,NA,,NA,NA,,
150080,15910,NA,ACRU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,8.6,NA,,NA,NA,,
150089,15910,NA,LITU,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,10.4,NA,7.8,NA,NA,,
150091,15910,NA,LITU,NA,NA,lying cut,,A,,,3,NA,,NA,NA,NA,NA,13.3,NA,4.3,NA,NA,,
150118,15103,NA,ACRU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,2.2,NA,3,NA,NA,,
150210,1593,NA,COFL2,NA,NA,standing dead,,A,,,1,NA,,NA,NA,NA,NA,3.1,NA,,NA,NA,,
150213,1594,NA,ULRU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5.1,NA,5.3,NA,NA,,
150248,15107,NA,CACA18,NA,NA,standing broken,,B,,,1,NA,,NA,NA,NA,NA,8,NA,2.5,NA,NA,,
150248,15107,NA,CACA18,NA,NA,standing broken,,A,,,1,NA,,2.5,NA,8,NA,8.8,NA,,NA,NA,,
150253,1596,NA,LITU,NA,NA,lying cut,,B,,,1,NA,,NA,NA,NA,NA,39.4,NA,3.8,NA,NA,,
150253,15107,NA,LITU,NA,NA,lying cut,,A,,,1,NA,,NA,NA,NA,NA,43.2,NA,7.3,NA,NA,,
150264,15108,NA,NYSY,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,13.7,NA,,NA,NA,,
150269,15109,NA,LITU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,5.7,NA,,NA,NA,,
150280,15107,NA,LIST2,NA,NA,lying broken,,B,,,1,NA,,NA,NA,NA,NA,28.9,NA,2.9,NA,NA,,
150280,15109,NA,LIST2,NA,NA,lying broken,,A,,,1,NA,,NA,NA,NA,NA,58.7,NA,23.3,NA,NA,,
150333,1585,NA,LIST2,NA,NA,standing broken,,A,,,1,NA,,NA,NA,NA,NA,16,NA,9.6,NA,NA,,connected
150404,1571,NA,LIST2,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,54.2,NA,17.1,NA,NA,,live buds
150489,1579,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,1.4,NA,,NA,NA,,
150650,1589,NA,LITU,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,20.8,NA,4.4,NA,NA,,
150650,1589,NA,LITU,NA,NA,standing broken,,A,,,2,NA,,8.2,NA,20.8,NA,26.5,NA,,NA,NA,,
150735,1547,NA,LIBE3,NA,NA,standing dead,,A,,,1,NA,,NA,NA,NA,NA,2,NA,,NA,NA,,
150748,1547,NA,ULRU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,60.2,NA,26.1,NA,NA,,stump sprouts
150944,1562,NA,LIST2,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,38.4,NA,22,NA,NA,,
150944,1562,NA,LIST2,NA,NA,standing broken,,A,,,2,NA,,2,NA,38.4,NA,49.2,NA,,NA,NA,,
150945,1563,NA,ACRU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,37.2,NA,22.2,NA,NA,,
150971,1563,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.6,NA,,NA,NA,,
150982,1563,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.6,NA,,NA,NA,,
150986,1563,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.5,NA,,NA,NA,,
151091,1578,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.8,NA,,NA,NA,,
151095,1578,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.7,NA,,NA,NA,,
151207,1555,NA,ULRU,NA,NA,standing broken,,A,,,2,NA,,NA,NA,NA,NA,7.5,NA,1.9,NA,NA,,connected
151406,15110,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.1,NA,,NA,NA,,
151620,1532,NA,LIBE3,NA,NA,standing broken,,A,,,2,NA,,NA,NA,NA,NA,5,NA,,NA,NA,,no top
151669,1533,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.4,NA,,NA,NA,,
151675,1533,NA,ACRU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,3,NA,,NA,NA,,
151678,1533,NA,ACRU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,4.4,NA,,NA,NA,,
152187,1513,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,4.2,NA,,NA,NA,,
152197,1513,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,3.6,NA,,NA,NA,,
152496,15210,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,4.1,NA,,NA,NA,,
152566,1532,NA,CACA18,NA,NA,lying broken,,B,,,2,NA,,NA,NA,NA,NA,7.4,NA,2.6,NA,NA,,
152566,1532,NA,CACA18,NA,NA,lying broken,,A,,,2,NA,,NA,NA,NA,NA,8.7,NA,1.8,NA,NA,,
152654,1558,NA,ACRU,NA,NA,lying broken,,B,,,3,NA,,NA,NA,NA,NA,10.3,NA,3.4,NA,NA,,
152654,1558,NA,ACRU,NA,NA,lying broken,,A,,,3,NA,,NA,NA,NA,NA,14,NA,7,NA,NA,,
152702,1543,NA,ACRU,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,50,NA,10.6,NA,NA,,
152794,15410,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,9.3,NA,4.4,NA,NA,,
152925,1568,NA,LIST2,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,10.7,NA,1.7,NA,NA,,
152925,1568,NA,LIST2,NA,NA,standing broken,,A,,,3,NA,,2.5,NA,10.7,NA,13.5,NA,,NA,NA,,
153054,1514,NA,ACRU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,7.2,NA,4.9,NA,NA,,Ulmus?
153078,1514,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,5.3,NA,,NA,NA,,
153312,15210,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,4.4,NA,,NA,NA,,
153336,1517,NA,QUPA2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,76.5,NA,30.7,NA,NA,,
153510,1519,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,5.5,NA,,NA,NA,,
160023,16102,NA,ACRU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,2.8,NA,2.2,NA,NA,,
160028,16102,NA,PIVI2,NA,NA,standing broken,,A,,,3,NA,,1.7,NA,NA,NA,8.4,NA,,NA,NA,,top?
160113,1691,NA,ACRU,NA,NA,standing broken,,B,,,1,NA,,NA,NA,NA,NA,8.2,NA,7.8,NA,NA,,
160113,1691,NA,ACRU,NA,NA,standing broken,,A,,,1,NA,,NA,NA,8.2,NA,12,NA,,NA,NA,,
160120,1692,NA,PIVI2,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,9,NA,9.9,NA,NA,,
160120,1692,NA,PIVI2,NA,NA,standing broken,,A,,,3,NA,,1.5,NA,9,NA,15.7,NA,,NA,NA,,
160148,1693,NA,PIVI2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,21.1,NA,,NA,NA,,
160161,1694,NA,PIVI2,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,17.7,NA,,NA,NA,,leaning
160186,1695,NA,LITU,NA,NA,lying broken,,A,,,2,NA,,NA,NA,NA,NA,7.8,NA,2,NA,NA,,
160186,1694,NA,LITU,NA,NA,lying broken,,B,,,2,NA,,NA,NA,NA,NA,7,NA,5.3,NA,NA,,
160226,1672,NA,LITU,NA,NA,lying cut,,A,,,2,NA,,NA,NA,NA,NA,16.6,NA,7.5,NA,NA,,
160226,1672,NA,LITU,NA,NA,lying cut,,B,,,2,NA,,NA,NA,NA,NA,10.2,NA,2.3,NA,NA,,
160279,1698,NA,RHAR3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.7,NA,,NA,NA,,
160280,1698,NA,RHAR3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2.6,NA,,NA,NA,,
160400,1684,NA,ULAM,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,15.3,NA,12.6,NA,NA,,Pinus
160407,1694,NA,LITU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,6.6,NA,,NA,NA,,stump sprouts
160644,1687,NA,LITU,NA,NA,lying cut,,A,,,1,NA,,NA,NA,NA,NA,2.3,NA,,NA,NA,,
160800,1645,NA,PLOC,NA,NA,standing broken,,A,,,3,NA,,13.4,NA,36.5,NA,52.4,NA,,NA,NA,,
160800,1645,NA,PLOC,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,36.5,NA,5.9,NA,NA,,
160961,1641,NA,CACA18,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,13.8,NA,6.9,NA,NA,,
161108,1645,NA,LITU,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,25,NA,12,NA,NA,,
161567,1636,NA,QUPA2,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,117,NA,,NA,NA,,
161938,1622,NA,LIST2,NA,NA,standing broken,,A,,,2,NA,,11,NA,12.4,NA,19.6,NA,,NA,NA,,
161938,1612,NA,LIST2,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,12.4,NA,4.1,NA,NA,,
162431,16109,NA,QUAL,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,26.2,NA,16.2,NA,NA,,
162431,16109,NA,QUAL,NA,NA,standing broken,,A,,,3,NA,,6.1,NA,26.2,NA,80.5,NA,,NA,NA,,"second stem, but not found"
162435,16109,NA,UNKN,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,49.6,NA,,NA,NA,,
162457,1699,NA,FAGR,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,30.6,NA,,NA,NA,,
162458,1699,NA,QUAL,NA,NA,standing broken,,A,,,3,NA,,5.5,NA,NA,NA,36.8,NA,,NA,NA,,
162465,1699,NA,FAGR,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,1.7,NA,,NA,NA,,
162633,1658,NA,LITU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,19,NA,9.7,NA,NA,,beaver
162684,1689,NA,LIST2,NA,NA,standing broken,,A,,,3,NA,,3,NA,NA,NA,25.3,NA,,NA,NA,,no top
162685,1689,NA,FAGR,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,15.5,NA,,NA,NA,,
162687,1689,NA,FAGR,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,8.2,NA,,NA,NA,,
