TAG,QUADNAME,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
10555,173,NA,QUFA,NA,NA,standing broken,,B,,,1,NA,,NA,NA,NA,NA,38.6,NA,10.9,NA,NA,,
10570,175,NA,ULAM,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,16.2,NA,,NA,NA,,
10572,175,NA,UNKN,NA,NA,standing broken,,A,,,3,NA,,9.1,NA,31.8,NA,39.8,NA,,NA,NA,,
10572,175,NA,UNKN,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,31.8,NA,2.5,NA,NA,,
10585,178,NA,UNKN,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,25.7,NA,4.4,NA,NA,,
10585,179,NA,UNKN,NA,NA,standing broken,,A,,,3,NA,,13.7,NA,25.7,NA,33.4,NA,,NA,NA,,
10599,1710,NA,CACA18,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,16.8,NA,7.9,NA,NA,,
10599,1710,NA,CACA18,NA,NA,standing broken,,A,,,2,NA,,2,NA,16.8,NA,17.5,NA,,NA,NA,,
10610,162,NA,QUERC,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,43.3,NA,2.5,NA,NA,,"end very decayed, using only 1 dbh"
10610,162,NA,QUERC,NA,NA,standing broken,,A,,,3,NA,,15,NA,43.3,NA,68.9,NA,,NA,NA,,
10627,164,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,1.4,NA,,NA,NA,,
10628,164,NA,ULAM,NA,NA,standing broken,,A,,,3,NA,,2.8,NA,20.8,NA,24.7,NA,,NA,NA,,
10628,164,NA,ULAM,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,20.8,NA,6.2,NA,NA,,
10647,168,NA,ULAM,NA,NA,live buds,,A,,,2,NA,,NA,NA,NA,NA,19.1,NA,,NA,NA,,
10656,169,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,35.6,NA,17,NA,NA,,
10688,149,NA,ARSP2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,1.7,NA,,NA,NA,,
10801,191,NA,FAGR,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,29.6,NA,15.6,NA,NA,,
10801,191,NA,FAGR,NA,NA,standing broken,,A,,,3,NA,,2.1,NA,29.6,NA,36.9,NA,,NA,NA,,
10871,194,NA,UNKN,NA,NA,standing broken,,A,,,3,NA,,1.3,NA,NA,NA,13.3,NA,,NA,NA,,no top
110022,1113,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,9.5,NA,5.3,NA,NA,,
110075,1117,NA,CAGL8,NA,NA,standing dead,,A,,,1,NA,,NA,NA,NA,NA,15,NA,,NA,NA,,
110124,1122,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,4.2,NA,2.4,NA,NA,,
11014,184,NA,UNKN,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,31.8,NA,,NA,NA,,
110143,1123,NA,CACA18,NA,NA,standing dead,,A,,,1,NA,,NA,NA,NA,NA,6.1,NA,,NA,NA,,
110148,1124,NA,LITU,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,19.6,NA,3.4,NA,NA,,
11015,184,NA,NYSY,NA,NA,standing broken,,A,,,2,NA,,4,NA,NA,NA,17.6,NA,,NA,NA,,no top
110165,1126,NA,LITU,NA,NA,standing broken,,A,,,2,NA,,NA,NA,9.7,NA,12.7,NA,,NA,NA,,
110165,1126,NA,LITU,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,9.7,NA,2.6,NA,NA,,
110197,1127,NA,CACA18,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,10.7,NA,4.9,NA,NA,,
110235,1133,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5,NA,2,NA,NA,,
110297,1137,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,6.8,NA,,NA,NA,,
110301,1142,NA,FAGR,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,8.8,NA,,NA,NA,,
110353,1144,NA,FAGR,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,21.4,NA,,NA,NA,,
110398,1148,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,7.2,NA,,NA,NA,,
110429,1139,NA,CACA18,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,7.2,NA,3.1,NA,NA,,
11051,187,NA,UNKN,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,16.5,NA,2.6,NA,NA,,
110574,1162,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,10.6,NA,6.6,NA,NA,,
110580,1162,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,6,NA,5.4,NA,NA,,
110614,1129,NA,CAGL8,NA,NA,standing broken,,F,,,2,NA,,NA,NA,NA,NA,24.6,NA,2.2,NA,NA,,rearranged from sketch
110614,1129,NA,CAGL8,NA,NA,standing broken,,H,,,2,NA,,NA,NA,NA,NA,19.4,NA,1.5,NA,NA,,rearranged from sketch
110614,11110,NA,CAGL8,NA,NA,standing broken,,A,,,1,NA,,18,NA,27.3,NA,46.6,NA,,NA,NA,,
110614,1129,NA,CAGL8,NA,NA,standing broken,,I,,,2,NA,,NA,NA,NA,NA,19.2,NA,1.5,NA,NA,,rearranged from sketch
110614,11110,NA,CAGL8,NA,NA,standing broken,,B,,,1,NA,,NA,NA,NA,NA,27.3,NA,1,NA,NA,,rearranged from sketch
110614,11110,NA,CAGL8,NA,NA,standing broken,,D,,,1,NA,,NA,NA,NA,NA,25.3,NA,1,NA,NA,,rearranged from sketch
110614,1129,NA,CAGL8,NA,NA,standing broken,,G,,,2,NA,,NA,NA,NA,NA,23.5,NA,1.3,NA,NA,,rearranged from sketch
110614,11110,NA,CAGL8,NA,NA,standing broken,,C,,,1,NA,,NA,NA,NA,NA,26.2,NA,1.1,NA,NA,,rearranged from sketch
110614,11110,NA,CAGL8,NA,NA,standing broken,,E,,,1,NA,,NA,NA,NA,NA,25.2,NA,0.8,NA,NA,,rearranged from sketch
110623,11110,NA,CATO6,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,29.6,NA,,NA,NA,,
11064,188,NA,QUERC,NA,NA,standing broken,,A,,,2,NA,,2,NA,9.5,NA,32,NA,,NA,NA,,"stump split, dbh measured at second piece"
110816,1153,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,1.2,NA,,NA,NA,,
110817,1153,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,1.3,NA,,NA,NA,,
110818,1153,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,1.9,NA,,NA,NA,,
110819,1153,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,2,NA,,NA,NA,,
110833,1165,NA,PRAV,NA,NA,lying broken,,B,,,1,NA,,NA,NA,NA,NA,9.4,NA,,NA,NA,,
110833,1154,NA,PRAV,NA,NA,lying broken,,A,A,,1,5,,NA,NA,NA,NA,32,NA,8,NA,NA,,
110855,1156,NA,CACA18,NA,NA,standing broken,,A,,,2,NA,,2,NA,8.7,NA,11.6,NA,,NA,NA,,
110855,1156,NA,CACA18,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,8.7,NA,3,NA,NA,,
110867,1171,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,9.6,NA,4.9,NA,NA,,
110881,1158,NA,UNKN,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,78.5,NA,,NA,NA,,
110947,1174,NA,CATO6,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,22.3,NA,1.1,NA,NA,,
110947,1174,NA,CATO6,NA,NA,standing broken,,A,,,2,NA,,NA,NA,22.3,NA,28.8,NA,,NA,NA,,
110947,1184,NA,CATO6,NA,NA,standing broken,,D,,,2,NA,,NA,NA,NA,NA,17.7,NA,3.3,NA,NA,,
110947,1174,NA,CATO6,NA,NA,standing broken,,C,,,2,NA,,NA,NA,NA,NA,22,NA,9.3,NA,NA,,
110985,1177,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5,NA,4.4,NA,NA,,
111019,1166,NA,COFL2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,10.4,NA,,NA,NA,,leaning
111021,1166,NA,LITU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,23.7,NA,,NA,NA,,
111021,1166,NA,LITU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,23.7,NA,11.3,NA,NA,,
111030,1166,NA,COFL2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,10.1,NA,,NA,NA,,leaning
111035,1167,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,10,NA,6.4,NA,NA,,
111066,1168,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,10.3,NA,3.9,NA,NA,,
111115,1158,NA,ASTR,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,2.7,NA,3.1,NA,NA,,
111129,1159,NA,ASTR,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,1.2,NA,1.4,NA,NA,,broken
111156,1159,NA,ASTR,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,2.7,NA,1.7,NA,NA,,
111158,1159,NA,ASTR,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,1.5,NA,3.5,NA,NA,,broken
111345,1191,NA,LIST2,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,24.5,NA,14.1,NA,NA,,
111587,1196,NA,PATO2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5.5,NA,2.5,NA,NA,,
111590,1196,NA,FAGR,NA,NA,standing dead,,A,,,1,NA,,NA,NA,NA,NA,3.7,NA,,NA,NA,,leaning
111595,1196,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,14,NA,2.7,NA,NA,,
