QUADNAME,TAG,STEMTAG,SPCODE,PX,PY,PIECE,BREAKDOWNSTATUS,INTEG,DECAYCLASS,DECAYCLASSORIG,GC,HEIGHT,TOPDIAM,DBH,DBH.2017,NOTES.2017,LG.PX,LG.PY,SM.PX,SM.PY,LENGTH,LG.END.DIAM,SM.END.DIAM,CON.2014,CODES.2014,NOTES.2014,CORRXTREE,CORRYTREE,UTMX_TREES,UTMY_TREES
1105,10952,10952,FRPE,8.8,4.8,A,Snag,C,1,1,NA,10.2,NA,32.2,32.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,98.8,44.8,438119.993,135639.297
1105,10965,10965,FRPE,4.8,8,A,Snag,C,1,1,NA,16.2,NA,33.6,32.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,94.8,48,438115.993,135642.497
1106,10971,10971,FRPE,6,3.6,A,Snag,C,1,1,NA,11.8,NA,29.9,30.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,SP,NA,96,53.6,438117.193,135648.097
1106,10973,10973,LIST2,2.5,6,A,Snag,F,2,1,NA,8.6,NA,26.9,26.9,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,92.5,56,438113.693,135650.497
1106,10978,10978,FRPE,0.3,7.8,A,Snag,C,1,1,NA,13.8,NA,39.3,39.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,90.3,57.8,438111.493,135652.297
184,11014,11014,UNKN,6.4,2.4,A,Snag,F,4,2,NA,5,NA,31.6,30.8,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,76.4,32.4,438097.593,135626.897
184,11015,11015,NYSY,1.2,2.3,A,Snag,F,4,2,NA,3,NA,17,16,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,71.2,32.3,438092.393,135626.797
185,11034,11034,FRPE,4.9,6.7,A,Snag,C,1,1,NA,17,NA,36,35.7,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,74.9,46.7,438096.093,135641.197
188,11064,11064,QUERC,0.9,1.6,NA,Stump,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,70.9,71.6,438092.093,135666.097
133,11181,11181,FRPE,3.9,3.2,A,Snag,C,1,1,NA,16,NA,24.8,23.4,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,previously  missed,23.9,23.2,438045.093,135617.697
197,11212,11212,FRPE,5.4,2.4,A,Snag,C,1,1,NA,13.4,NA,45.7,45.1,NA,NA,NA,NA,NA,NA,NA,NA,LI,H; SP,NA,85.4,62.4,438106.593,135656.897
226,20145,20145,LIST2,8.8,4.1,A,Log,F,4,2,G,NA,NA,49,NA,NA,8.8,4.1,8.5,6,9,36.8,30.9,DS,X,NA,18.8,154.1,438039.993,135748.597
226,20151,20151,CATO6,3,9.2,A,Snag,C,1,1,NA,7,NA,11.9,11.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,MA,NA,13,159.2,438034.193,135753.697
229,20175,20175,LITU,2.1,1.9,A,Snag,C,1,1,NA,37.6,NA,41.2,40.9,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,12.1,181.9,438033.293,135776.397
242,20239,20239,QURU,3.1,0.6,A,Log,C,4,2,G,NA,NA,70.9,NA,NA,3.1,0.6,5,7,20,66.6,32.7,DS,NA,NA,33.1,110.6,438054.293,135705.097
244,20260,20260,COFL2,4.9,1.1,A,Log,F,3,2,G,NA,NA,16.6,NA,NA,4.9,1.1,4,5,11,18.4,12.6,DS,NA,NA,34.9,131.1,438056.093,135725.597
245,20277,20277,CAGL8,4.6,8.2,A,Snag,C,1,1,NA,13,NA,11,10.7,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,34.6,148.2,438055.793,135742.697
231,20313,20313,COFL2,9.8,5.8,A,Snag,C,2,1,NA,8,NA,10.7,10.5,switch channels,NA,NA,NA,NA,NA,NA,NA,LI,MA,NA,29.8,105.8,438050.993,135700.297
227,20354,20354,QUAL,1.4,3.2,B,Log,F,4,2,G,NA,NA,NA,NA,NA,10,3,0,4,10,76.7,41.4,DS,X,NA,21.4,163.2,438042.593,135757.697
237,20354,20354,QUAL,1.4,3.2,A,Snag,F,3,2,NA,3.5,NA,60.3,61,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,21.4,163.2,438042.593,135757.697
258,20488,20488,COFL2,0.2,8.6,A,Log,C,4,2,A,NA,NA,12.8,NA,NA,0.2,8.6,9,4,5,15.9,11.6,DS,NA,NA,40.2,178.6,438061.393,135773.097
2510,20587,20587,LIST2,9.2,7.8,A,Log,F,4,2,G,NA,NA,10.4,NA,NA,9.8,7.8,6,4.8,4.5,9.6,6.3,LI,NA,NA,49.2,197.8,438070.393,135792.297
262,20708,20708,CARYA,3.9,1.8,A,Snag,C,3,2,NA,10,NA,33.4,32.4,NA,NA,NA,NA,NA,NA,NA,NA,DS,SP; X,NA,53.9,111.8,438075.093,135706.297
283,20718,20718,FAGR,1,1.1,A,Log,F,3,2,G,NA,NA,12.5,NA,NA,1,1.1,3,9,3,15.7,11.2,DS,X,extra poles at (0;0),51,121.1,438072.193,135715.597
281,20811,20811,LIST2,7.3,7.1,A,Log,C,3,2,G,NA,NA,12.4,NA,NA,7.5,7.1,3.5,4,10,15.4,6.4,DS,NA,NA,77.3,107.1,438098.493,135701.597
282,20820,20820,LIST2,6.8,4,B,Log,F,3,2,G,NA,NA,NA,NA,NA,7,3,4,6,10,16.4,9.7,LI,X,NA,76.8,114,438097.993,135708.497
282,20820,20820,LIST2,6.8,4,A,Snag,F,3,2,NA,4,16.4,21.6,21.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,X,NA,76.8,114,438097.993,135708.497
288,20887,20887,CATO6,2.2,5.6,A,Log,F,4,2,G,NA,NA,42,NA,NA,2.2,5.6,6,8,12,36.2,27.6,DS,NA,NA,72.2,175.6,438093.393,135770.097
291,20927,20927,FAGR,9.8,3.1,A,Log,F,4,2,G,NA,NA,20.1,NA,NA,9.8,3.1,5.8,4.1,4,20.3,11.1,DS,X,NA,89.8,103.1,438110.993,135697.597
295,20980,20980,LIST2,8.2,9.4,A,Snag,F,4,2,NA,4,NA,25.2,24.1,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,88.2,149.4,438109.393,135743.897
2107,21231,21231,CACA18,8.1,9.6,A,Log,NA,5,3,G;A,NA,NA,NA,NA,NA,7,9.8,2,2,7,NA,9.7,NA,NA,NA,NA,NA,NA,NA
