QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
249,20527,,,,,lying whole,,A,,,2,,,,,,,11.3,,3.4,,,,
252,20718,,,,,standing broken,,C,,,2,,,,,,,5.5,,1.9,,,,
255,20450,,,,,lying whole,,A,,,2,,,,,,,7.9,,4.5,,,,
255,no tag,,,,,lying whole,,A,,,3,,,,,,,10.5,,6.9,,,,
256,20462,,,,,lying whole,,A,,,2,,,,,,,18.4,,11.6,,,,
258,20488,,,,,standing dead,,A,,,1,,,,,,,13,,,,,,
261,no tag,,,,,lying whole,,A,,,2,,,,,,,8.8,,4,,,,
262,20708,,,,,standing dead,,A,,,2,,,,,,,33.2,,,,,,
263,20718,,,,,standing broken,,A,,,2,,,4,,9.6,,12.9,,,,,,
263,20718,,,,,standing broken,,B,,,2,,,,,,,9.6,,6.4,,,,
264,20743,,,,,lying whole,,A,,,2,,,,,,,4.7,,4.4,,,,
264,no tag,,,,,lying whole,,A,,,3,,,,,,,71.4,,14.5,,,,
265,20759,,,,,lying whole,,A,,,2,,,,,,,4.3,,2.2,,,,
265,20756,,,,,standing dead,,A,,,2,,,,,,,4.9,,,,,,
265,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
272,20625,,,,,lying broken,,A,,,2,,,,,,,6.2,,2,,,,
272,20625,,,,,lying broken,,B,,,2,,,,,,,4.8,,1.3,,,,
272,no tag,,,,,lying whole,,A,,,3,,,,,,,23.5,,6.2,,,,
273,20635,,,,,lying whole,,A,,,2,,,,,,,5,,4.2,,,,
274,20645,,,,,lying whole,,A,,,2,,,,,,,6.4,,2,,,,leaning
274,21555,,,,,standing broken,,A,,,2,,,3,,7.6,,10.5,,,,,,
274,21555,,,,,standing broken,,B,,,2,,,,,,,7.6,,3.2,,,,
276,no tag,,,,,lying whole,,A,,,3,,,,,,,68.9,,4.7,,,,
277,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
278,20690,,,,,lying broken,,A,,,2,,,,,,,24,,19.7,,,,
281,no tag,,,,,lying whole,,A,,,2,,,,,,,25.8,,13,,,,
281,20808,,,,,lying whole,,A,,,1,,,,,,,6,,5.6,,,,
281,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
281,20803,,,,,standing dead,,A,,,2,,,,,,,12.9,,,,,,
282,20827,,,,,standing dead,,A,,,2,,,,,,,54.7,,,,,,
282,20820,,,,,standing broken,,A,,,2,,,4,,17.8,,21.7,,,,,,
282,20820,,,,,standing broken,,B,,,2,,,,,,,17.8,,12.3,,,,
283,20835,,,,,lying whole,,A,,,2,,,,,,,14.1,,6,,,,
284,21558,,,,,lying whole,,A,,,2,,,,,,,5.7,,4.8,,,,
286,no tag,,,,,lying whole,,A,,,3,,,,,,,12.5,,9.8,,,,
287,20875,,,,,stump,,A,,,2,,,,,,,,,,,,,
287,20887,,,,,standing broken,,C,,,2,,,,,,,20.8,,3,,,,
287,20887,,,,,standing broken,,D,,,2,,,,,,,15.7,,3.1,,,,
288,20878,,,,,standing broken,,A,,,2,,,1.5,,5.5,,5.6,,,,,,
288,20878,,,,,standing broken,,B,,,2,,,,,,,5.5,,3.8,,,,
288,20887,,,,,standing broken,,A,,,2,,,14,,31.7,,42.3,,,,,,
288,20887,,,,,standing broken,,B,,,2,,,,,,,31.7,,11.2,,,,
289,no tag,,,,,lying whole,,A,,,3,,,,,,,36.7,,23.1,,,,
289,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
289,21119,,,,,lying whole,,A,,,3,,,,,,,15.9,,7.3,,,,
291,20927,,,,,standing dead,,A,,,2,,,,,,,20.9,,,,,,
291,no tag,,,,,lying whole,,A,,,3,,,,,,,35.6,,,,,,
293,20954,,,,,lying whole,,A,,,2,,,,,,,3.8,,3.5,,,,
293,20988,,,,,standing broken,,A,,,2,,,,,,,,,,,,,live buds
294,20964,,,,,lying whole,,A,,,2,,,,,,,9.3,,5.1,,,,
294,21566,,,,,lying whole,,A,,,2,,,,,,,6.1,,2.9,,,,
294,20962,,,,,standing dead,,A,,,2,,,,,,,9,,,,,,
294,20970,,,,,standing dead,,A,,,2,,,,,,,6,,,,,,
295,20980,,,,,standing broken,,A,,,2,,,2.4,,19.6,,25.7,,,,,,
295,20980,,,,,standing broken,,B,,,2,,,,,,,19.6,,10.8,,,,
297,20690,,,,,lying broken,,B,,,2,,,,,,,14.8,,2.5,,,,
297,21005,,,,,lying whole,,A,,,2,,,,,,,9.8,,2.9,,,,
298,21253,,,,,standing broken,,C,,,2,,,,,,,14.8,,6.1,,,,
312,no tag,,,,,lying whole,,A,,,3,,,,,,,24.2,,10.9,,,,
315,30050,,,,,lying whole,,A,,,2,,,,,,,34.7,,10,,,,
316,30073,,,,,lying whole,,A,,,1,,,,,,,42.5,,9.24,,,,
316,30066,,,,,lying whole,,A,,,1,,,,,,,35.3,,4.2,,,,
318,no tag,,,,,lying whole,,A,,,3,,,,,,,23.8,,14.9,,,,
323,no tag,,,,,standing broken,,A,,,3,,,,,19.1,,,,,,,,stump
323,no tag,,,,,standing broken,,B,,,3,,,,,,,19.1,,3.3,,,,
323,no tag,,,,,standing broken,,C,,,3,,,,,,,16,,1.9,,,,
324,no tag,,,,,lying whole,,A,,,3,,,,,,,32.7,,11.9,,,,
325,30145,,,,,standing dead,,A,,,3,,,,,,,26.5,,,,,,leaning on 030142
325,30154,,,,,standing broken,,A,,,3,,,,,15.5,,20.8,,,,,,
325,30154,,,,,standing broken,,B,,,3,,,,,,,15.5,,3.8,,,,
325,30154,,,,,standing broken,,C,,,3,,,,,,,12.8,,1.8,,,,
328,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
329,30198,,,,,lying whole,,A,,,3,,,,,,,21.2,,8.8,,,,
331,30201,,,,,lying whole,,A,,,2,,,,,,,7.7,,3.6,,,,
331,30209,,,,,lying broken,,A,,,3,,,,,,,16.7,,2.8,,,,
331,30209,,,,,lying broken,,B,,,3,,,,,,,16.5,,10.6,,,,
