"","X","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021","BDS.2014_new","BDS.2017_new","BDS.2021_new","DC.2017_3","DC.2021_3"
"317",317,"150077B",150077,15910,NA,NA,"UNKN","standing broken",NA,NA,3,NA,NA,NA,NA,NA,30.3,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"318",318,"150077A",150077,15910,8.9,4.2,"UNKN","standing broken","Snag","Snag",3,4,3,30.3,NA,NA,34.6,34.3,32.7,34.3,NA,NA,NA,NA,NA,NA,5,NA,"snag","snag","snag",2,2
"319",319,"150080A",150080,15910,NA,NA,"ACRU","standing dead",NA,NA,2,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"320",320,"150089A",150089,15910,NA,NA,"LITU","lying whole",NA,NA,3,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"321",321,"150091A",150091,15910,NA,NA,"LITU","lying cut",NA,NA,3,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"322",322,"150118A",150118,15103,NA,NA,"ACRU","lying whole",NA,NA,2,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"323",323,"150210A",150210,1593,NA,NA,"COFL2","standing dead",NA,NA,1,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"324",324,"150213A",150213,1594,NA,NA,"ULRU","lying whole",NA,NA,2,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"325",325,"150248B",150248,15107,NA,NA,"CACA18","standing broken",NA,NA,1,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"326",326,"150248A",150248,15107,NA,NA,"CACA18","standing broken",NA,NA,1,NA,NA,8,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,"snag",NA,NA,NA,NA
"327",327,"150253B",150253,1596,NA,NA,"LITU","lying cut",NA,NA,1,NA,NA,NA,NA,NA,39.4,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"328",328,"150253A",150253,15107,NA,NA,"LITU","lying cut",NA,NA,1,NA,NA,NA,NA,NA,43.2,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"329",329,"150264A",150264,15108,6.3,4.2,"NYSY","standing dead","Log",NA,2,4,NA,NA,NA,NA,13.7,13.6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"snag","log",NA,2,NA
"330",330,"150269A",150269,15109,NA,NA,"LITU","standing dead",NA,NA,2,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"331",331,"150280B",150280,15107,NA,NA,"LIST2","lying broken",NA,NA,1,NA,NA,NA,NA,NA,28.9,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"332",332,"150280A",150280,15109,NA,NA,"LIST2","lying broken",NA,NA,1,NA,NA,NA,NA,NA,58.7,NA,NA,NA,NA,NA,23.3,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"333",333,"150333A",150333,1585,NA,NA,"LIST2","standing broken",NA,NA,1,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"334",334,"150404A",150404,1571,2,3.5,"LIST2","lying whole","Log",NA,1,2,NA,NA,NA,NA,54.2,NA,NA,NA,NA,NA,17.1,17,NA,NA,NA,NA,"log","log",NA,1,NA
"335",335,"150489A",150489,1579,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"336",336,"150650B",150650,1589,NA,NA,"LITU","standing broken",NA,NA,2,NA,NA,NA,NA,NA,20.8,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"337",337,"150650A",150650,1589,4,0.2,"LITU","standing broken","Log","Log",2,3,3,20.8,NA,NA,26.5,26.5,NA,NA,NA,NA,NA,8,NA,8.2,NA,NA,"snag","log","log",2,2
"338",338,"150735A",150735,1547,NA,NA,"LIBE3","standing dead",NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"339",339,"150748A",150748,1547,NA,NA,"ULRU","lying whole",NA,NA,2,NA,NA,NA,NA,NA,60.2,NA,NA,NA,NA,NA,26.1,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"340",340,"150944B",150944,1562,NA,NA,"LIST2","standing broken",NA,NA,2,NA,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"341",341,"150944A",150944,1562,6.8,9.5,"LIST2","standing broken","Stump",NA,2,4,NA,38.4,NA,NA,49.2,48.9,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"snag","snag",NA,2,NA
"342",342,"150945A",150945,1563,NA,NA,"ACRU","lying whole",NA,NA,2,NA,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA,22.2,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"343",343,"150971A",150971,1563,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"344",344,"150982A",150982,1563,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"345",345,"150986A",150986,1563,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"346",346,"151091A",151091,1578,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"347",347,"151095A",151095,1578,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"348",348,"151207A",151207,1555,NA,NA,"ULRU","standing broken",NA,NA,2,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"349",349,"151406A",151406,15110,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
