"","X","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021","BDS.2014_new","BDS.2017_new","BDS.2021_new","DC.2017_3","DC.2021_3"
"350",350,"151620A",151620,1532,NA,NA,"LIBE3","standing broken",NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"351",351,"151669A",151669,1533,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"352",352,"151675A",151675,1533,NA,NA,"ACRU","standing dead",NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"353",353,"151678A",151678,1533,NA,NA,"ACRU","standing dead",NA,NA,2,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"354",354,"152187A",152187,1513,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"355",355,"152197A",152197,1513,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"356",356,"152496A",152496,15210,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"357",357,"152566B",152566,1532,NA,NA,"CACA18","lying broken",NA,NA,2,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"358",358,"152566A",152566,1532,NA,NA,"CACA18","lying broken",NA,NA,2,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"359",359,"152654B",152654,1558,NA,NA,"ACRU","lying broken",NA,NA,3,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"360",360,"152654A",152654,1558,NA,NA,"ACRU","lying broken",NA,NA,3,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"361",361,"152702A",152702,1543,NA,NA,"ACRU","lying whole",NA,NA,3,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"362",362,"152794A",152794,15410,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"363",363,"152925B",152925,1568,NA,NA,"LIST2","standing broken",NA,NA,3,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"364",364,"152925A",152925,1568,6.2,5.8,"LIST2","standing broken","Stump",NA,3,NA,NA,10.7,NA,NA,13.5,13,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,"snag","snag",NA,NA,NA
"365",365,"153054A",153054,1514,NA,NA,"ACRU","lying whole",NA,NA,2,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"366",366,"153078A",153078,1514,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"367",367,"153312A",153312,15210,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"368",368,"153336A",153336,1517,NA,NA,"QUPA2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,76.5,NA,NA,NA,NA,NA,30.7,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"369",369,"153510A",153510,1519,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"370",370,"160023A",160023,16102,NA,NA,"ACRU","lying whole",NA,NA,2,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"371",371,"160028A",160028,16102,NA,NA,"PIVI2","standing broken",NA,NA,3,NA,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,"snag",NA,NA,NA,NA
"372",372,"160113B",160113,1691,NA,NA,"ACRU","standing broken",NA,NA,1,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"373",373,"160113A",160113,1691,7.4,4,"ACRU","standing broken","Log",NA,1,2,NA,8.2,NA,NA,12,11.6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"snag","log",NA,1,NA
